"Step","SAC_single_critic_short_test_track_pixel - return_train","SAC_single_critic_short_test_track_pixel - return_train__MIN","SAC_single_critic_short_test_track_pixel - return_train__MAX"
"38","14.4399996903","14.4399996903","14.4399996903"
"39","9.4299997985","9.4299997985","9.4299997985"
"40","1.969999956","1.969999956","1.969999956"
"41","1.969999956","1.969999956","1.969999956"
"42","15.9099996649","15.9099996649","15.9099996649"
"43","5.4199998882","5.4199998882","5.4199998882"
"44","5.4199998882","5.4199998882","5.4199998882"
"45","16.7299996465","16.7299996465","16.7299996465"
"46","7.8999998327","7.8999998327","7.8999998327"
"47","7.8999998327","7.8999998327","7.8999998327"
"48","8.8199998084","8.8199998084","8.8199998084"
"49","8.8199998084","8.8199998084","8.8199998084"
"50","15.3199996576","15.3199996576","15.3199996576"
"51","15.3199996576","15.3199996576","15.3199996576"
"52","15.3199996576","15.3199996576","15.3199996576"
"53","14.2899997029","14.2899997029","14.2899997029"
"54","16.0899996888","16.0899996888","16.0899996888"
"55","16.0899996888","16.0899996888","16.0899996888"
"56","16.0899996888","16.0899996888","16.0899996888"
"57","18.0999997165","18.0999997165","18.0999997165"
"58","9.0799997989","9.0799997989","9.0799997989"
"59","9.0799997989","9.0799997989","9.0799997989"
"60","8.1399998236","8.1399998236","8.1399998236"
"61","4.91999989","4.91999989","4.91999989"
"62","8.6699998062","8.6699998062","8.6699998062"
"63","4.069999909","4.069999909","4.069999909"
"64","6.4199998584","6.4199998584","6.4199998584"
"65","8.0099998303","8.0099998303","8.0099998303"
"66","8.0099998303","8.0099998303","8.0099998303"
"67","6.2099998631","6.2099998631","6.2099998631"
"68","8.7099998109","8.7099998109","8.7099998109"
"69","6.1199998669","6.1199998669","6.1199998669"
"70","6.1199998669","6.1199998669","6.1199998669"
"71","10.5399998203","10.5399998203","10.5399998203"
"72","4.4499999005","4.4499999005","4.4499999005"
"73","4.4499999005","4.4499999005","4.4499999005"
"74","6.7599998508","6.7599998508","6.7599998508"
"75","10.5199998096","10.5199998096","10.5199998096"
"76","10.6899998337","10.6899998337","10.6899998337"
"77","5.8099998981","5.8099998981","5.8099998981"
"78","10.6399998572","10.6399998572","10.6399998572"
"79","3.4599999227","3.4599999227","3.4599999227"
"80","3.2299999446","3.2299999446","3.2299999446"
"81","9.8099998198","9.8099998198","9.8099998198"
"82","10.1499998216","10.1499998216","10.1499998216"
"83","7.0499998685","7.0499998685","7.0499998685"
"84","3.4299999364","3.4299999364","3.4299999364"
"85","9.1999998093","9.1999998093","9.1999998093"
"86","9.7799997926","9.7799997926","9.7799997926"
"87","9.7799997926","9.7799997926","9.7799997926"
"88","9.7799997926","9.7799997926","9.7799997926"
"89","15.6699997261","15.6699997261","15.6699997261"
"90","15.6699997261","15.6699997261","15.6699997261"
"91","4.9899999332","4.9899999332","4.9899999332"
"92","2.9399999343","2.9399999343","2.9399999343"
"93","2.9399999343","2.9399999343","2.9399999343"
"94","14.6299997587","14.6299997587","14.6299997587"
"95","14.6299997587","14.6299997587","14.6299997587"
"96","16.1799997482","16.1799997482","16.1799997482"
"97","15.6799997613","15.6799997613","15.6799997613"
"98","15.6799997613","15.6799997613","15.6799997613"
"99","14.6699997094","14.6699997094","14.6699997094"
"100","14.6699997094","14.6699997094","14.6699997094"
"101","15.6299997363","15.6299997363","15.6299997363"
"102","15.6299997363","15.6299997363","15.6299997363"
"103","15.9299997315","15.9299997315","15.9299997315"
"104","15.9299997315","15.9299997315","15.9299997315"
"105","15.9299997315","15.9299997315","15.9299997315"
"106","38.3699996788","38.3699996788","38.3699996788"
"107","16.8499996774","16.8499996774","16.8499996774"
"108","16.8499996774","16.8499996774","16.8499996774"
"109","16.7499996834","16.7499996834","16.7499996834"
"110","16.9399997853","16.9399997853","16.9399997853"
"111","16.9399997853","16.9399997853","16.9399997853"
"112","16.9399997853","16.9399997853","16.9399997853"
"113","15.259999698","15.259999698","15.259999698"
"114","16.5399997514","16.5399997514","16.5399997514"
"115","16.5399997514","16.5399997514","16.5399997514"
"116","15.3999998122","15.3999998122","15.3999998122"
"117","15.2999997754","15.2999997754","15.2999997754"
"118","15.2999997754","15.2999997754","15.2999997754"
"119","33.1899995785","33.1899995785","33.1899995785"
"120","3.7099999283","3.7099999283","3.7099999283"
"121","4.169999944","4.169999944","4.169999944"
"122","4.169999944","4.169999944","4.169999944"
"123","27.949999569","27.949999569","27.949999569"
"124","27.949999569","27.949999569","27.949999569"
"125","15.2299997713","15.2299997713","15.2299997713"
"126","15.4199998174","15.4199998174","15.4199998174"
