"Step","SAC_single_critic_short_test_track_pixel - loss_actor","SAC_single_critic_short_test_track_pixel - loss_actor__MIN","SAC_single_critic_short_test_track_pixel - loss_actor__MAX"
"89","-2.7022344077","-2.7022344077","-2.7022344077"
"90","-2.7238231301","-2.7238231301","-2.7238231301"
"91","-2.7402651513","-2.7402651513","-2.7402651513"
"92","-2.7628846729","-2.7628846729","-2.7628846729"
"93","-2.7946082664","-2.7946082664","-2.7946082664"
"94","-2.8053840959","-2.8053840959","-2.8053840959"
"95","-2.8315442038","-2.8315442038","-2.8315442038"
"96","-2.8511576867","-2.8511576867","-2.8511576867"
"97","-2.8701464081","-2.8701464081","-2.8701464081"
"98","-2.8927718806","-2.8927718806","-2.8927718806"
"99","-2.9197167122","-2.9197167122","-2.9197167122"
"100","-2.9352660048","-2.9352660048","-2.9352660048"
"101","-2.956348995","-2.956348995","-2.956348995"
"102","-2.9777548373","-2.9777548373","-2.9777548373"
"103","-3.0024067616","-3.0024067616","-3.0024067616"
"104","-3.0210716677","-3.0210716677","-3.0210716677"
"105","-3.0352468991","-3.0352468991","-3.0352468991"
"106","-3.058123492","-3.058123492","-3.058123492"
"107","-3.079101553","-3.079101553","-3.079101553"
"108","-3.1033254576","-3.1033254576","-3.1033254576"
"109","-3.1259513938","-3.1259513938","-3.1259513938"
"110","-3.1462669539","-3.1462669539","-3.1462669539"
"111","-3.1736605263","-3.1736605263","-3.1736605263"
