"Step","SAC_single_critic_short_test_track_pixel - loss_critic","SAC_single_critic_short_test_track_pixel - loss_critic__MIN","SAC_single_critic_short_test_track_pixel - loss_critic__MAX"
"403","0.4309285016","0.4309285016","0.4309285016"
"404","0.3588364677","0.3588364677","0.3588364677"
"405","0.3975721147","0.3975721147","0.3975721147"
"406","0.4221420447","0.4221420447","0.4221420447"
"407","0.3450866203","0.3450866203","0.3450866203"
"408","0.3726083678","0.3726083678","0.3726083678"
"409","0.3770576292","0.3770576292","0.3770576292"
"410","0.3719026478","0.3719026478","0.3719026478"
"411","0.4236133979","0.4236133979","0.4236133979"
"412","0.4133179154","0.4133179154","0.4133179154"
"413","0.3931094819","0.3931094819","0.3931094819"
"414","0.3599273083","0.3599273083","0.3599273083"
"415","0.3435635607","0.3435635607","0.3435635607"
"416","0.3884997919","0.3884997919","0.3884997919"
"417","0.3670260153","0.3670260153","0.3670260153"
"418","0.3688129189","0.3688129189","0.3688129189"
"419","0.3331204613","0.3331204613","0.3331204613"
"420","0.3491674253","0.3491674253","0.3491674253"
"421","0.3682965344","0.3682965344","0.3682965344"
"422","0.3850438261","0.3850438261","0.3850438261"
"423","0.3927908991","0.3927908991","0.3927908991"
"424","0.3609520112","0.3609520112","0.3609520112"
"425","0.3907682788","0.3907682788","0.3907682788"
"426","0.3613542367","0.3613542367","0.3613542367"
"427","0.409541907","0.409541907","0.409541907"
"428","0.3945036636","0.3945036636","0.3945036636"
"429","0.3489751402","0.3489751402","0.3489751402"
"430","0.35927544","0.35927544","0.35927544"
"431","0.3846284017","0.3846284017","0.3846284017"
"432","0.3764973303","0.3764973303","0.3764973303"
"433","0.3909523875","0.3909523875","0.3909523875"
"434","0.36828633","0.36828633","0.36828633"
"435","0.4163578944","0.4163578944","0.4163578944"
"436","0.4437302731","0.4437302731","0.4437302731"
"437","0.3871080669","0.3871080669","0.3871080669"
"438","0.4246500397","0.4246500397","0.4246500397"
"439","0.3925520451","0.3925520451","0.3925520451"
"440","0.4364119451","0.4364119451","0.4364119451"
"441","0.3735401402","0.3735401402","0.3735401402"
"442","0.3730416421","0.3730416421","0.3730416421"
"443","0.4704490602","0.4704490602","0.4704490602"
"444","0.4275912468","0.4275912468","0.4275912468"
"445","0.3940965365","0.3940965365","0.3940965365"
"446","0.3984866727","0.3984866727","0.3984866727"
"447","0.4011910743","0.4011910743","0.4011910743"
"448","0.3815182091","0.3815182091","0.3815182091"
"449","0.4306980926","0.4306980926","0.4306980926"
"450","0.3932533424","0.3932533424","0.3932533424"
"451","0.4026844702","0.4026844702","0.4026844702"
"452","0.3754901507","0.3754901507","0.3754901507"
"453","0.4253971147","0.4253971147","0.4253971147"
"454","0.4073621213","0.4073621213","0.4073621213"
"455","0.4107484981","0.4107484981","0.4107484981"
"456","0.4107547317","0.4107547317","0.4107547317"
"457","0.3868874763","0.3868874763","0.3868874763"
"458","0.4357746308","0.4357746308","0.4357746308"
"459","0.4015411272","0.4015411272","0.4015411272"
"460","0.4807223338","0.4807223338","0.4807223338"
"461","0.4049894007","0.4049894007","0.4049894007"
"462","0.4362977149","0.4362977149","0.4362977149"
"463","0.4032652177","0.4032652177","0.4032652177"
"464","0.4763913759","0.4763913759","0.4763913759"
"465","0.4152476895","0.4152476895","0.4152476895"
"466","0.4119501849","0.4119501849","0.4119501849"
"467","0.4119190378","0.4119190378","0.4119190378"
"468","0.3823159647","0.3823159647","0.3823159647"
"469","0.4223448527","0.4223448527","0.4223448527"
"470","0.3769986866","0.3769986866","0.3769986866"
"471","0.390939597","0.390939597","0.390939597"
"472","0.3652607692","0.3652607692","0.3652607692"
"473","0.3925482176","0.3925482176","0.3925482176"
"474","0.4015682644","0.4015682644","0.4015682644"
"475","0.3902281282","0.3902281282","0.3902281282"
"476","0.3989499711","0.3989499711","0.3989499711"
"477","0.3868518286","0.3868518286","0.3868518286"
"478","0.3574871477","0.3574871477","0.3574871477"
"479","0.3596522297","0.3596522297","0.3596522297"
"480","0.3850165424","0.3850165424","0.3850165424"
"481","0.3925105514","0.3925105514","0.3925105514"
"482","0.4169123634","0.4169123634","0.4169123634"
"483","0.3659715733","0.3659715733","0.3659715733"
"484","0.3842865572","0.3842865572","0.3842865572"
"485","0.3801924305","0.3801924305","0.3801924305"
"486","0.3438730678","0.3438730678","0.3438730678"
"487","0.3645302181","0.3645302181","0.3645302181"
"488","0.3523746286","0.3523746286","0.3523746286"
"489","0.3553367601","0.3553367601","0.3553367601"
"490","0.3379781032","0.3379781032","0.3379781032"
"491","0.3529368503","0.3529368503","0.3529368503"
"492","0.3591928995","0.3591928995","0.3591928995"
"493","0.334841671","0.334841671","0.334841671"
"494","0.3616569436","0.3616569436","0.3616569436"
"495","0.3530614613","0.3530614613","0.3530614613"
"496","0.3428881942","0.3428881942","0.3428881942"
"497","0.3286637747","0.3286637747","0.3286637747"
"498","0.3206298531","0.3206298531","0.3206298531"
"499","0.3367162819","0.3367162819","0.3367162819"
"500","0.3515621702","0.3515621702","0.3515621702"
"501","0.3588343791","0.3588343791","0.3588343791"
"502","0.3398375379","0.3398375379","0.3398375379"
"503","0.3500054548","0.3500054548","0.3500054548"
"504","0.3373604663","0.3373604663","0.3373604663"
"505","0.3302472873","0.3302472873","0.3302472873"
"506","0.3528594244","0.3528594244","0.3528594244"
"507","0.3663277412","0.3663277412","0.3663277412"
"508","0.3297161169","0.3297161169","0.3297161169"
"509","0.312621785","0.312621785","0.312621785"
"510","0.3117491753","0.3117491753","0.3117491753"
"511","0.3298817641","0.3298817641","0.3298817641"
"512","0.3298005453","0.3298005453","0.3298005453"
"513","0.329313915","0.329313915","0.329313915"
"514","0.3373947959","0.3373947959","0.3373947959"
"515","0.311599762","0.311599762","0.311599762"
"516","0.320794787","0.320794787","0.320794787"
"517","0.3555813278","0.3555813278","0.3555813278"
"518","0.3136707728","0.3136707728","0.3136707728"
"519","0.3215374262","0.3215374262","0.3215374262"
"520","0.3143254201","0.3143254201","0.3143254201"
"521","0.312998252","0.312998252","0.312998252"
"522","0.3401913396","0.3401913396","0.3401913396"
"523","0.2984046428","0.2984046428","0.2984046428"
