"Step","SAC_short_test_track - return_train","SAC_short_test_track - return_train__MIN","SAC_short_test_track - return_train__MAX"
"134","9.9299999401","9.9299999401","9.9299999401"
"135","15.299999807","15.299999807","15.299999807"
"136","15.70999985","15.70999985","15.70999985"
"137","15.9899998866","15.9899998866","15.9899998866"
"138","40.3799995985","40.3799995985","40.3799995985"
"139","14.5499998666","14.5499998666","14.5499998666"
"140","15.0099999215","15.0099999215","15.0099999215"
"141","35.9499996863","35.9499996863","35.9499996863"
"142","15.3899998479","15.3899998479","15.3899998479"
"143","15.4599998537","15.4599998537","15.4599998537"
"144","15.4599998537","15.4599998537","15.4599998537"
"145","40.6399997026","40.6399997026","40.6399997026"
"146","38.8499996569","38.8499996569","38.8499996569"
"147","16.6899997946","16.6899997946","16.6899997946"
"148","14.1699998509","14.1699998509","14.1699998509"
"149","10.4099998511","10.4099998511","10.4099998511"
"150","17.3999997769","17.3999997769","17.3999997769"
"151","31.6599997114","31.6599997114","31.6599997114"
"152","15.9399998616","15.9399998616","15.9399998616"
"153","14.5599999148","14.5599999148","14.5599999148"
"154","15.3499998972","15.3499998972","15.3499998972"
"155","11.3499999493","11.3499999493","11.3499999493"
"156","2.4399999734","2.4399999734","2.4399999734"
"157","14.7099998835","14.7099998835","14.7099998835"
"158","15.6299998425","15.6299998425","15.6299998425"
"159","16.6899998151","16.6899998151","16.6899998151"
"160","46.3199996166","46.3199996166","46.3199996166"
"161","35.1099994648","35.1099994648","35.1099994648"
"162","16.8999998216","16.8999998216","16.8999998216"
"163","14.3099999484","14.3099999484","14.3099999484"
"164","14.8299998865","14.8299998865","14.8299998865"
"165","17.2699998301","17.2699998301","17.2699998301"
"166","29.4599996284","29.4599996284","29.4599996284"
"167","15.0499998666","15.0499998666","15.0499998666"
"168","15.6299998946","15.6299998946","15.6299998946"
"169","13.9099999592","13.9099999592","13.9099999592"
"170","31.5699997004","31.5699997004","31.5699997004"
"171","16.6399997436","16.6399997436","16.6399997436"
"172","30.3399996925","30.3399996925","30.3399996925"
"173","16.5299998112","16.5299998112","16.5299998112"
"174","35.02999961","35.02999961","35.02999961"
"175","35.02999961","35.02999961","35.02999961"
"176","34.9899996202","34.9899996202","34.9899996202"
"177","17.1899999734","17.1899999734","17.1899999734"
"178","18.65999984","18.65999984","18.65999984"
"179","18.65999984","18.65999984","18.65999984"
"180","2.9499999862","2.9499999862","2.9499999862"
"181","16.7399999648","16.7399999648","16.7399999648"
"182","2.5899999645","2.5899999645","2.5899999645"
"183","16.3599999268","16.3599999268","16.3599999268"
"184","30.8399996404","30.8399996404","30.8399996404"
"185","30.8399996404","30.8399996404","30.8399996404"
"186","16.8299998995","16.8299998995","16.8299998995"
"187","15.2099998575","15.2099998575","15.2099998575"
"188","13.4099998977","13.4099998977","13.4099998977"
"189","29.2299995683","29.2299995683","29.2299995683"
"190","29.2299995683","29.2299995683","29.2299995683"
"191","39.6999995708","39.6999995708","39.6999995708"
"192","40.349999601","40.349999601","40.349999601"
"193","16.5299998485","16.5299998485","16.5299998485"
"194","16.5299998485","16.5299998485","16.5299998485"
"195","44.4599996861","44.4599996861","44.4599996861"
"196","31.2299996484","31.2299996484","31.2299996484"
"197","31.7099996712","31.7099996712","31.7099996712"
"198","31.7099996712","31.7099996712","31.7099996712"
"199","44.8499997612","44.8499997612","44.8499997612"
"200","34.9799996242","34.9799996242","34.9799996242"
"201","44.2899997607","44.2899997607","44.2899997607"
"202","44.2899997607","44.2899997607","44.2899997607"
"203","30.0999997668","30.0999997668","30.0999997668"
"204","31.7699995879","31.7699995879","31.7699995879"
"205","31.7699995879","31.7699995879","31.7699995879"
"206","48.1499996949","48.1499996949","48.1499996949"
"207","29.9999996498","29.9999996498","29.9999996498"
"208","40.829999622","40.829999622","40.829999622"
"209","40.829999622","40.829999622","40.829999622"
"210","34.8799995799","34.8799995799","34.8799995799"
