"Step","DDPG_short_test_track_pixel - return_train","DDPG_short_test_track_pixel - return_train__MIN","DDPG_short_test_track_pixel - return_train__MAX"
"193","2.7799999379","2.7799999379","2.7799999379"
"194","0","0","0"
"195","0.3099999931","0.3099999931","0.3099999931"
"196","2.059999954","2.059999954","2.059999954"
"197","0","0","0"
"198","0","0","0"
"199","0.1099999975","0.1099999975","0.1099999975"
"200","0.2299999949","0.2299999949","0.2299999949"
"201","0.1499999966","0.1499999966","0.1499999966"
"202","0","0","0"
"203","0.6499999855","0.6499999855","0.6499999855"
"204","1.3599999696","1.3599999696","1.3599999696"
"205","1.8799999803","1.8799999803","1.8799999803"
"206","0.2999999933","0.2999999933","0.2999999933"
"207","0","0","0"
"208","0.3499999922","0.3499999922","0.3499999922"
"209","1.0899999756","1.0899999756","1.0899999756"
"210","0","0","0"
"211","0.0199999996","0.0199999996","0.0199999996"
"212","1.6999999657","1.6999999657","1.6999999657"
"213","0.0799999982","0.0799999982","0.0799999982"
"214","1.1899999734","1.1899999734","1.1899999734"
"215","0.1099999975","0.1099999975","0.1099999975"
"216","0.269999994","0.269999994","0.269999994"
"217","0","0","0"
"218","2.5099999905","2.5099999905","2.5099999905"
"219","1.6599999629","1.6599999629","1.6599999629"
"220","0.089999998","0.089999998","0.089999998"
"221","0","0","0"
"222","0.3199999928","0.3199999928","0.3199999928"
"223","0.3699999917","0.3699999917","0.3699999917"
"224","2.5399999674","2.5399999674","2.5399999674"
"225","0.4399999902","0.4399999902","0.4399999902"
"226","0","0","0"
"227","0","0","0"
"228","0.8299999814","0.8299999814","0.8299999814"
"229","0","0","0"
"230","0.2799999937","0.2799999937","0.2799999937"
"231","3.5199999623","3.5199999623","3.5199999623"
"232","0","0","0"
"233","0","0","0"
"234","0","0","0"
"235","0.6299999859","0.6299999859","0.6299999859"
"236","0","0","0"
"237","0","0","0"
"238","1.8399999626","1.8399999626","1.8399999626"
"239","0.1999999955","0.1999999955","0.1999999955"
"240","1.2399999723","1.2399999723","1.2399999723"
"241","0.0399999991","0.0399999991","0.0399999991"
"242","0","0","0"
"243","0.1299999971","0.1299999971","0.1299999971"
"244","2.279999949","2.279999949","2.279999949"
"245","0.2299999949","0.2299999949","0.2299999949"
"246","1.9199999757","1.9199999757","1.9199999757"
"247","3.9299999755","3.9299999755","3.9299999755"
"248","0","0","0"
"249","3.3999999464","3.3999999464","3.3999999464"
"250","0.0199999996","0.0199999996","0.0199999996"
"251","0.3699999917","0.3699999917","0.3699999917"
"252","1.4799999669","1.4799999669","1.4799999669"
"253","4.8599999286","4.8599999286","4.8599999286"
"254","0.179999996","0.179999996","0.179999996"
"255","1.0799999759","1.0799999759","1.0799999759"
"256","1.4399999678","1.4399999678","1.4399999678"
"257","3.1499999315","3.1499999315","3.1499999315"
"258","1.649999965","1.649999965","1.649999965"
"259","0.2399999946","0.2399999946","0.2399999946"
"260","5.5699999109","5.5699999109","5.5699999109"
"261","1.0499999765","1.0499999765","1.0499999765"
"262","0.3799999915","0.3799999915","0.3799999915"
"263","0","0","0"
"264","1.0499999765","1.0499999765","1.0499999765"
"265","0","0","0"
"266","0","0","0"
"267","2.2399999499","2.2399999499","2.2399999499"
"268","0.0999999978","0.0999999978","0.0999999978"
"269","0.1499999966","0.1499999966","0.1499999966"
"270","0.2299999949","0.2299999949","0.2299999949"
"271","0","0","0"
"272","0.4499999899","0.4499999899","0.4499999899"
"273","0","0","0"
"274","1.2899999805","1.2899999805","1.2899999805"
"275","0.4099999908","0.4099999908","0.4099999908"
"276","4.4599999264","4.4599999264","4.4599999264"
"277","0.9199999794","0.9199999794","0.9199999794"
"278","0.3699999917","0.3699999917","0.3699999917"
"279","0.849999981","0.849999981","0.849999981"
"280","1.9499999583","1.9499999583","1.9499999583"
"281","0.2799999937","0.2799999937","0.2799999937"
"282","5.2699999548","5.2699999548","5.2699999548"
"283","0.0399999991","0.0399999991","0.0399999991"
"284","1.2299999725","1.2299999725","1.2299999725"
"285","1.7599999607","1.7599999607","1.7599999607"
"286","2.4199999664","2.4199999664","2.4199999664"
"287","0","0","0"
"288","0.0599999987","0.0599999987","0.0599999987"
"289","3.3899999242","3.3899999242","3.3899999242"
"290","0","0","0"
"291","0","0","0"
"292","0.3399999924","0.3399999924","0.3399999924"
"293","0","0","0"
"294","0.759999983","0.759999983","0.759999983"
"295","0.7899999823","0.7899999823","0.7899999823"
"296","0","0","0"
"297","0.0599999987","0.0599999987","0.0599999987"
"298","2.3399999496","2.3399999496","2.3399999496"
"299","0.2299999949","0.2299999949","0.2299999949"
"300","1.7399999648","1.7399999648","1.7399999648"
"301","0","0","0"
"302","2.0499999635","2.0499999635","2.0499999635"
"303","0.0299999993","0.0299999993","0.0299999993"
"304","0","0","0"
"305","0","0","0"
"306","0.0299999993","0.0299999993","0.0299999993"
"307","0.6599999852","0.6599999852","0.6599999852"
"308","0.0599999987","0.0599999987","0.0599999987"
"309","3.589999957","3.589999957","3.589999957"
"310","0.0099999998","0.0099999998","0.0099999998"
"311","0.9499999788","0.9499999788","0.9499999788"
"312","0.0299999993","0.0299999993","0.0299999993"
"313","3.0099999383","3.0099999383","3.0099999383"
"314","4.2699999474","4.2699999474","4.2699999474"
"315","3.7599999439","3.7599999439","3.7599999439"
"316","2.1899999548","2.1899999548","2.1899999548"
"317","1.3499999698","1.3499999698","1.3499999698"
"318","7.4599998966","7.4599998966","7.4599998966"
"319","0.269999994","0.269999994","0.269999994"
"320","0.4199999906","0.4199999906","0.4199999906"
"321","4.5199999735","4.5199999735","4.5199999735"
"322","0.4799999893","0.4799999893","0.4799999893"
"323","0.3099999931","0.3099999931","0.3099999931"
"324","3.2799999546","3.2799999546","3.2799999546"
"325","3.3199999593","3.3199999593","3.3199999593"
"326","0.0199999996","0.0199999996","0.0199999996"
"327","0","0","0"
"328","0","0","0"
"329","0.2199999951","0.2199999951","0.2199999951"
"330","1.0599999763","1.0599999763","1.0599999763"
"331","0","0","0"
"332","1.2499999721","1.2499999721","1.2499999721"
"333","0","0","0"
"334","0","0","0"
"335","0.489999989","0.489999989","0.489999989"
"336","0","0","0"
