"Step","DDPG_short_test_track_pixel - loss_actor","DDPG_short_test_track_pixel - loss_actor__MIN","DDPG_short_test_track_pixel - loss_actor__MAX"
"54","-0.2608626058","-0.2608626058","-0.2608626058"
"55","-0.2603146842","-0.2603146842","-0.2603146842"
"56","-0.2583993929","-0.2583993929","-0.2583993929"
"57","-0.2509034249","-0.2509034249","-0.2509034249"
"58","-0.2515190303","-0.2515190303","-0.2515190303"
"59","-0.257236282","-0.257236282","-0.257236282"
"60","-0.2632116544","-0.2632116544","-0.2632116544"
"61","-0.2569172388","-0.2569172388","-0.2569172388"
"62","-0.2522276083","-0.2522276083","-0.2522276083"
"63","-0.2547363646","-0.2547363646","-0.2547363646"
"64","-0.2559441905","-0.2559441905","-0.2559441905"
"65","-0.2544591971","-0.2544591971","-0.2544591971"
"66","-0.2575746991","-0.2575746991","-0.2575746991"
"67","-0.2539430115","-0.2539430115","-0.2539430115"
"68","-0.2490118969","-0.2490118969","-0.2490118969"
"69","-0.2500140481","-0.2500140481","-0.2500140481"
"70","-0.2462221259","-0.2462221259","-0.2462221259"
"71","-0.2457642509","-0.2457642509","-0.2457642509"
"72","-0.2404675991","-0.2404675991","-0.2404675991"
"73","-0.2425690475","-0.2425690475","-0.2425690475"
"74","-0.2393153069","-0.2393153069","-0.2393153069"
"75","-0.2350851467","-0.2350851467","-0.2350851467"
"76","-0.2399644931","-0.2399644931","-0.2399644931"
"77","-0.2365772069","-0.2365772069","-0.2365772069"
"78","-0.232727108","-0.232727108","-0.232727108"
"79","-0.2294051291","-0.2294051291","-0.2294051291"
"80","-0.2301704789","-0.2301704789","-0.2301704789"
"81","-0.2333908381","-0.2333908381","-0.2333908381"
"82","-0.2356700227","-0.2356700227","-0.2356700227"
"83","-0.2278761554","-0.2278761554","-0.2278761554"
"84","-0.2339024018","-0.2339024018","-0.2339024018"
"85","-0.2381838498","-0.2381838498","-0.2381838498"
"86","-0.2294797637","-0.2294797637","-0.2294797637"
"87","-0.2313354316","-0.2313354316","-0.2313354316"
"88","-0.2308028284","-0.2308028284","-0.2308028284"
"89","-0.2273600274","-0.2273600274","-0.2273600274"
"90","-0.2243167007","-0.2243167007","-0.2243167007"
"91","-0.2257363072","-0.2257363072","-0.2257363072"
"92","-0.2193812989","-0.2193812989","-0.2193812989"
"93","-0.2208636218","-0.2208636218","-0.2208636218"
"94","-0.2166678254","-0.2166678254","-0.2166678254"
"95","-0.2227564561","-0.2227564561","-0.2227564561"
"96","-0.2219212036","-0.2219212036","-0.2219212036"
"97","-0.2230458678","-0.2230458678","-0.2230458678"
"98","-0.2250201966","-0.2250201966","-0.2250201966"
"99","-0.2221383366","-0.2221383366","-0.2221383366"
"100","-0.2203846955","-0.2203846955","-0.2203846955"
"101","-0.2209438765","-0.2209438765","-0.2209438765"
"102","-0.2193275443","-0.2193275443","-0.2193275443"
"103","-0.2205480215","-0.2205480215","-0.2205480215"
"104","-0.2165908457","-0.2165908457","-0.2165908457"
"105","-0.2172578182","-0.2172578182","-0.2172578182"
"106","-0.2123804014","-0.2123804014","-0.2123804014"
"107","-0.2125854426","-0.2125854426","-0.2125854426"
"108","-0.2179422447","-0.2179422447","-0.2179422447"
"109","-0.2134874112","-0.2134874112","-0.2134874112"
"110","-0.2157039029","-0.2157039029","-0.2157039029"
"111","-0.2159083331","-0.2159083331","-0.2159083331"
