"Step","DDPG_short_test_track_pixel - loss_critic","DDPG_short_test_track_pixel - loss_critic__MIN","DDPG_short_test_track_pixel - loss_critic__MAX"
"437","2.7262085886","2.7262085886","2.7262085886"
"438","2.8513303105","2.8513303105","2.8513303105"
"439","3.7871021433","3.7871021433","3.7871021433"
"440","4.7315149067","4.7315149067","4.7315149067"
"441","2.9059979929","2.9059979929","2.9059979929"
"442","6.402212463","6.402212463","6.402212463"
"443","10.623015039","10.623015039","10.623015039"
"444","4.72076749","4.72076749","4.72076749"
"445","4.314619216","4.314619216","4.314619216"
"446","4.4733359015","4.4733359015","4.4733359015"
"447","9.0629691935","9.0629691935","9.0629691935"
"448","4.9709383383","4.9709383383","4.9709383383"
"449","4.1718891364","4.1718891364","4.1718891364"
"450","4.2369469896","4.2369469896","4.2369469896"
"451","4.5142384611","4.5142384611","4.5142384611"
"452","6.0937255909","6.0937255909","6.0937255909"
"453","5.4253718507","5.4253718507","5.4253718507"
"454","8.5393374753","8.5393374753","8.5393374753"
"455","6.4563007593","6.4563007593","6.4563007593"
"456","5.3359646955","5.3359646955","5.3359646955"
"457","6.7888688967","6.7888688967","6.7888688967"
"458","3.9775469643","3.9775469643","3.9775469643"
"459","6.0829301113","6.0829301113","6.0829301113"
"460","3.4460220358","3.4460220358","3.4460220358"
"461","7.1633038196","7.1633038196","7.1633038196"
"462","10.4502162302","10.4502162302","10.4502162302"
"463","9.6417009223","9.6417009223","9.6417009223"
"464","10.1216728178","10.1216728178","10.1216728178"
"465","12.5969782153","12.5969782153","12.5969782153"
"466","20.5633101213","20.5633101213","20.5633101213"
"467","12.1638337916","12.1638337916","12.1638337916"
"468","10.3637759963","10.3637759963","10.3637759963"
"469","14.6888175023","14.6888175023","14.6888175023"
"470","9.9685062939","9.9685062939","9.9685062939"
"471","7.9156079155","7.9156079155","7.9156079155"
"472","10.1810620925","10.1810620925","10.1810620925"
"473","11.0708313793","11.0708313793","11.0708313793"
"474","9.8401688355","9.8401688355","9.8401688355"
"475","16.8945804441","16.8945804441","16.8945804441"
"476","13.9066624242","13.9066624242","13.9066624242"
"477","13.0477840838","13.0477840838","13.0477840838"
"478","11.1556623536","11.1556623536","11.1556623536"
"479","9.489536882","9.489536882","9.489536882"
"480","13.6738880897","13.6738880897","13.6738880897"
"481","13.0061086577","13.0061086577","13.0061086577"
"482","19.7303763211","19.7303763211","19.7303763211"
"483","19.94659922","19.94659922","19.94659922"
"484","12.6381817919","12.6381817919","12.6381817919"
"485","11.5236029392","11.5236029392","11.5236029392"
"486","21.6335707402","21.6335707402","21.6335707402"
"487","17.659119885","17.659119885","17.659119885"
"488","18.5975294578","18.5975294578","18.5975294578"
"489","23.7354965091","23.7354965091","23.7354965091"
"490","22.1610959613","22.1610959613","22.1610959613"
"491","23.4544055659","23.4544055659","23.4544055659"
"492","13.8273278177","13.8273278177","13.8273278177"
"493","24.0880845296","24.0880845296","24.0880845296"
"494","37.9391588199","37.9391588199","37.9391588199"
"495","27.0447284389","27.0447284389","27.0447284389"
"496","30.1949650854","30.1949650854","30.1949650854"
"497","20.6988527218","20.6988527218","20.6988527218"
"498","24.280800426","24.280800426","24.280800426"
"499","20.765665518","20.765665518","20.765665518"
"500","28.0186165965","28.0186165965","28.0186165965"
"501","23.5010988438","23.5010988438","23.5010988438"
"502","42.6762109482","42.6762109482","42.6762109482"
"503","30.0591065109","30.0591065109","30.0591065109"
"504","31.1445554781","31.1445554781","31.1445554781"
"505","31.071056757","31.071056757","31.071056757"
"506","24.3072307777","24.3072307777","24.3072307777"
"507","36.5150980103","36.5150980103","36.5150980103"
"508","32.7591969192","32.7591969192","32.7591969192"
"509","31.1929620004","31.1929620004","31.1929620004"
"510","30.9416975737","30.9416975737","30.9416975737"
"511","44.0207531297","44.0207531297","44.0207531297"
"512","44.1412397671","44.1412397671","44.1412397671"
"513","34.2898101664","34.2898101664","34.2898101664"
"514","42.4661588508","42.4661588508","42.4661588508"
"515","34.6513343644","34.6513343644","34.6513343644"
"516","34.0640394962","34.0640394962","34.0640394962"
"517","35.1679821515","35.1679821515","35.1679821515"
"518","40.9672530532","40.9672530532","40.9672530532"
"519","63.8218014145","63.8218014145","63.8218014145"
"520","82.9215192044","82.9215192044","82.9215192044"
"521","51.2503012061","51.2503012061","51.2503012061"
"522","46.2038818359","46.2038818359","46.2038818359"
"523","49.2727504504","49.2727504504","49.2727504504"
"524","54.6425624883","54.6425624883","54.6425624883"
"525","51.972523613","51.972523613","51.972523613"
"526","35.6359705639","35.6359705639","35.6359705639"
"527","55.5559059536","55.5559059536","55.5559059536"
"528","57.9399779344","57.9399779344","57.9399779344"
"529","45.6942894268","45.6942894268","45.6942894268"
"530","58.069447794","58.069447794","58.069447794"
"531","47.3519691873","47.3519691873","47.3519691873"
"532","42.5130444908","42.5130444908","42.5130444908"
"533","75.1826860833","75.1826860833","75.1826860833"
"534","53.8494415116","53.8494415116","53.8494415116"
"535","48.516688087","48.516688087","48.516688087"
"536","38.1297864485","38.1297864485","38.1297864485"
"537","67.7816964436","67.7816964436","67.7816964436"
"538","74.1242764306","74.1242764306","74.1242764306"
"539","67.9700296736","67.9700296736","67.9700296736"
"540","56.1044477844","56.1044477844","56.1044477844"
"541","56.679968183","56.679968183","56.679968183"
"542","79.7545907831","79.7545907831","79.7545907831"
"543","96.7189482379","96.7189482379","96.7189482379"
"544","115.7588013458","115.7588013458","115.7588013458"
"545","78.0502970386","78.0502970386","78.0502970386"
"546","62.8758097744","62.8758097744","62.8758097744"
"547","55.6472315955","55.6472315955","55.6472315955"
"548","83.5109774399","83.5109774399","83.5109774399"
"549","65.3564751863","65.3564751863","65.3564751863"
"550","74.7784675288","74.7784675288","74.7784675288"
"551","130.234559021","130.234559021","130.234559021"
"552","78.8233084679","78.8233084679","78.8233084679"
"553","107.546241827","107.546241827","107.546241827"
"554","89.1777411938","89.1777411938","89.1777411938"
"555","66.6516779304","66.6516779304","66.6516779304"
