"Step","PPO_short_test_track - loss_critc","PPO_short_test_track - loss_critc__MIN","PPO_short_test_track - loss_critc__MAX"
"335","0.0089782851","0.0089782851","0.0089782851"
"336","0.0077989205","0.0077989205","0.0077989205"
"337","0.0080527371","0.0080527371","0.0080527371"
"338","0.007273117","0.007273117","0.007273117"
"339","0.0080320486","0.0080320486","0.0080320486"
"340","0.0072443073","0.0072443073","0.0072443073"
"341","0.0074414906","0.0074414906","0.0074414906"
"342","0.0074240139","0.0074240139","0.0074240139"
"343","0.00766976","0.00766976","0.00766976"
"344","0.0078202128","0.0078202128","0.0078202128"
"345","0.0075774336","0.0075774336","0.0075774336"
"346","0.0077376679","0.0077376679","0.0077376679"
"347","0.0078395918","0.0078395918","0.0078395918"
"348","0.00709459","0.00709459","0.00709459"
"349","0.0073893804","0.0073893804","0.0073893804"
"350","0.0080199901","0.0080199901","0.0080199901"
"351","0.0077495438","0.0077495438","0.0077495438"
"352","0.0078126826","0.0078126826","0.0078126826"
"353","0.0076405924","0.0076405924","0.0076405924"
"354","0.0070799637","0.0070799637","0.0070799637"
"355","0.008115889","0.008115889","0.008115889"
"356","0.007552011","0.007552011","0.007552011"
"357","0.007402136","0.007402136","0.007402136"
"358","0.007812164","0.007812164","0.007812164"
"359","0.0075167212","0.0075167212","0.0075167212"
"360","0.0075251518","0.0075251518","0.0075251518"
"361","0.0078962749","0.0078962749","0.0078962749"
"362","0.0072116323","0.0072116323","0.0072116323"
"363","0.0075032537","0.0075032537","0.0075032537"
"364","0.0076149739","0.0076149739","0.0076149739"
"365","0.0080582481","0.0080582481","0.0080582481"
"366","0.0075746192","0.0075746192","0.0075746192"
"367","0.0080154333","0.0080154333","0.0080154333"
"368","0.0077164661","0.0077164661","0.0077164661"
"369","0.0082458019","0.0082458019","0.0082458019"
"370","0.0078848582","0.0078848582","0.0078848582"
"371","0.0078375729","0.0078375729","0.0078375729"
"372","0.0080912636","0.0080912636","0.0080912636"
"373","0.0078759482","0.0078759482","0.0078759482"
"374","0.0084338992","0.0084338992","0.0084338992"
"375","0.0076474438","0.0076474438","0.0076474438"
"376","0.0075421824","0.0075421824","0.0075421824"
"377","0.0078410911","0.0078410911","0.0078410911"
"378","0.008385113","0.008385113","0.008385113"
"379","0.0070092862","0.0070092862","0.0070092862"
"380","0.0077088605","0.0077088605","0.0077088605"
"381","0.0069148988","0.0069148988","0.0069148988"
"382","0.0074316228","0.0074316228","0.0074316228"
"383","0.0081418591","0.0081418591","0.0081418591"
"384","0.0073479598","0.0073479598","0.0073479598"
"385","0.0082941266","0.0082941266","0.0082941266"
"386","0.008420867","0.008420867","0.008420867"
"387","0.0075841479","0.0075841479","0.0075841479"
"388","0.0078964197","0.0078964197","0.0078964197"
"389","0.0077700868","0.0077700868","0.0077700868"
"390","0.0079312759","0.0079312759","0.0079312759"
"391","0.0075237636","0.0075237636","0.0075237636"
"392","0.0077624849","0.0077624849","0.0077624849"
"393","0.0079044851","0.0079044851","0.0079044851"
"394","0.0076081061","0.0076081061","0.0076081061"
"395","0.0070508246","0.0070508246","0.0070508246"
"396","0.0080748532","0.0080748532","0.0080748532"
"397","0.0072918769","0.0072918769","0.0072918769"
"398","0.0078128661","0.0078128661","0.0078128661"
"399","0.0073959917","0.0073959917","0.0073959917"
"400","0.0073620688","0.0073620688","0.0073620688"
"401","0.0077200106","0.0077200106","0.0077200106"
"402","0.0080636052","0.0080636052","0.0080636052"
"403","0.0077095428","0.0077095428","0.0077095428"
"404","0.0074520612","0.0074520612","0.0074520612"
"405","0.0078239331","0.0078239331","0.0078239331"
"406","0.0076569168","0.0076569168","0.0076569168"
"407","0.0078016547","0.0078016547","0.0078016547"
"408","0.0072665763","0.0072665763","0.0072665763"
"409","0.0079561034","0.0079561034","0.0079561034"
"410","0.0082067462","0.0082067462","0.0082067462"
"411","0.007517612","0.007517612","0.007517612"
"412","0.0073687156","0.0073687156","0.0073687156"
"413","0.0087567353","0.0087567353","0.0087567353"
"414","0.0072974816","0.0072974816","0.0072974816"
"415","0.007278298","0.007278298","0.007278298"
"416","0.0078515607","0.0078515607","0.0078515607"
"417","0.0071567831","0.0071567831","0.0071567831"
"418","0.0075796009","0.0075796009","0.0075796009"
"419","0.0076014009","0.0076014009","0.0076014009"
"420","0.0076450672","0.0076450672","0.0076450672"
"421","0.0078705834","0.0078705834","0.0078705834"
"422","0.007258039","0.007258039","0.007258039"
"423","0.0079826549","0.0079826549","0.0079826549"
"424","0.0075380166","0.0075380166","0.0075380166"
"425","0.00787721","0.00787721","0.00787721"
"426","0.0077726735","0.0077726735","0.0077726735"
"427","0.0075448556","0.0075448556","0.0075448556"
"428","0.0076672173","0.0076672173","0.0076672173"
"429","0.007457539","0.007457539","0.007457539"
"430","0.007736589","0.007736589","0.007736589"
"431","0.0075346903","0.0075346903","0.0075346903"
"432","0.0082025466","0.0082025466","0.0082025466"
"433","0.0075842964","0.0075842964","0.0075842964"
"434","0.0082347574","0.0082347574","0.0082347574"
"435","0.0082060971","0.0082060971","0.0082060971"
"436","0.0077405231","0.0077405231","0.0077405231"
"437","0.0076371893","0.0076371893","0.0076371893"
"438","0.0078840944","0.0078840944","0.0078840944"
"439","0.0073858023","0.0073858023","0.0073858023"
"440","0.0077886998","0.0077886998","0.0077886998"
"441","0.0079699394","0.0079699394","0.0079699394"
"442","0.0074221303","0.0074221303","0.0074221303"
"443","0.0082962837","0.0082962837","0.0082962837"
"444","0.008147406","0.008147406","0.008147406"
"445","0.0079471837","0.0079471837","0.0079471837"
"446","0.0077392897","0.0077392897","0.0077392897"
"447","0.0076714086","0.0076714086","0.0076714086"
"448","0.0072254237","0.0072254237","0.0072254237"
"449","0.0084344788","0.0084344788","0.0084344788"
"450","0.0079426573","0.0079426573","0.0079426573"
"451","0.0074093635","0.0074093635","0.0074093635"
"452","0.00778485","0.00778485","0.00778485"
"453","0.0075640574","0.0075640574","0.0075640574"
"454","0.0081047639","0.0081047639","0.0081047639"
"455","0.0081006562","0.0081006562","0.0081006562"
"456","0.0077203936","0.0077203936","0.0077203936"
"457","0.0075889715","0.0075889715","0.0075889715"
"458","0.0077575103","0.0077575103","0.0077575103"
"459","0.0072536652","0.0072536652","0.0072536652"
"460","0.0079133759","0.0079133759","0.0079133759"
"461","0.0079282612","0.0079282612","0.0079282612"
"462","0.0075829918","0.0075829918","0.0075829918"
"463","0.0074387398","0.0074387398","0.0074387398"
"464","0.0077662338","0.0077662338","0.0077662338"
"465","0.0076663818","0.0076663818","0.0076663818"
"466","0.0077747162","0.0077747162","0.0077747162"
"467","0.0069538701","0.0069538701","0.0069538701"
"468","0.0076212411","0.0076212411","0.0076212411"
"469","0.0073870244","0.0073870244","0.0073870244"
"470","0.0076525524","0.0076525524","0.0076525524"
"471","0.007497388","0.007497388","0.007497388"
"472","0.0076152962","0.0076152962","0.0076152962"
"473","0.0075759353","0.0075759353","0.0075759353"
"474","0.0080155386","0.0080155386","0.0080155386"
"475","0.0080442867","0.0080442867","0.0080442867"
"476","0.0078272001","0.0078272001","0.0078272001"
"477","0.0073998094","0.0073998094","0.0073998094"
"478","0.0083381442","0.0083381442","0.0083381442"
"479","0.0078889653","0.0078889653","0.0078889653"
"480","0.0076148842","0.0076148842","0.0076148842"
"481","0.0078148556","0.0078148556","0.0078148556"
"482","0.0078065202","0.0078065202","0.0078065202"
"483","0.0080904794","0.0080904794","0.0080904794"
"484","0.0074391096","0.0074391096","0.0074391096"
"485","0.0081367234","0.0081367234","0.0081367234"
"486","0.0074888858","0.0074888858","0.0074888858"
"487","0.0075264306","0.0075264306","0.0075264306"
"488","0.0076344706","0.0076344706","0.0076344706"
"489","0.0072616168","0.0072616168","0.0072616168"
"490","0.007899274","0.007899274","0.007899274"
"491","0.0074121009","0.0074121009","0.0074121009"
"492","0.0076587964","0.0076587964","0.0076587964"
"493","0.0079193221","0.0079193221","0.0079193221"
"494","0.0079253504","0.0079253504","0.0079253504"
"495","0.0081309919","0.0081309919","0.0081309919"
"496","0.0080097716","0.0080097716","0.0080097716"
"497","0.0076844364","0.0076844364","0.0076844364"
"498","0.0080612588","0.0080612588","0.0080612588"
"499","0.0080232398","0.0080232398","0.0080232398"
"500","0.007718051","0.007718051","0.007718051"
"501","0.0079252757","0.0079252757","0.0079252757"
"502","0.008125471","0.008125471","0.008125471"
"503","0.0076633352","0.0076633352","0.0076633352"
"504","0.0082332428","0.0082332428","0.0082332428"
"505","0.0080494098","0.0080494098","0.0080494098"
"506","0.0079070186","0.0079070186","0.0079070186"
"507","0.0076996057","0.0076996057","0.0076996057"
"508","0.0076591193","0.0076591193","0.0076591193"
"509","0.008043317","0.008043317","0.008043317"
"510","0.0084491814","0.0084491814","0.0084491814"
"511","0.0079601975","0.0079601975","0.0079601975"
"512","0.0078554867","0.0078554867","0.0078554867"
"513","0.0076237267","0.0076237267","0.0076237267"
"514","0.0076292031","0.0076292031","0.0076292031"
"515","0.0077267546","0.0077267546","0.0077267546"
"516","0.0081273337","0.0081273337","0.0081273337"
"517","0.007452758","0.007452758","0.007452758"
"518","0.0083779956","0.0083779956","0.0083779956"
"519","0.0074996517","0.0074996517","0.0074996517"
"520","0.0079346939","0.0079346939","0.0079346939"
"521","0.0081246532","0.0081246532","0.0081246532"
"522","0.00776916","0.00776916","0.00776916"
"523","0.0083210399","0.0083210399","0.0083210399"
"524","0.0075629001","0.0075629001","0.0075629001"
"525","0.0079682656","0.0079682656","0.0079682656"
"526","0.0083029294","0.0083029294","0.0083029294"
"527","0.0075723999","0.0075723999","0.0075723999"
"528","0.0078727435","0.0078727435","0.0078727435"
"529","0.0076431767","0.0076431767","0.0076431767"
"530","0.0075772272","0.0075772272","0.0075772272"
"531","0.0071485866","0.0071485866","0.0071485866"
"532","0.0076370938","0.0076370938","0.0076370938"
"533","0.0077346005","0.0077346005","0.0077346005"
"534","0.0074362894","0.0074362894","0.0074362894"
"535","0.0081092106","0.0081092106","0.0081092106"
"536","0.0081733628","0.0081733628","0.0081733628"
"537","0.0079443003","0.0079443003","0.0079443003"
"538","0.0078598019","0.0078598019","0.0078598019"
"539","0.0077453218","0.0077453218","0.0077453218"
"540","0.0078502847","0.0078502847","0.0078502847"
"541","0.007961013","0.007961013","0.007961013"
"542","0.0077130447","0.0077130447","0.0077130447"
"543","0.0083790502","0.0083790502","0.0083790502"
"544","0.0079146712","0.0079146712","0.0079146712"
"545","0.0075478166","0.0075478166","0.0075478166"
"546","0.0072361542","0.0072361542","0.0072361542"
"547","0.0081169479","0.0081169479","0.0081169479"
"548","0.0082322752","0.0082322752","0.0082322752"
"549","0.0080647869","0.0080647869","0.0080647869"
"550","0.0077196969","0.0077196969","0.0077196969"
"551","0.0074951626","0.0074951626","0.0074951626"
