"Step","SAC_Double_critic_lidar - return_train","SAC_Double_critic_lidar - return_train__MIN","SAC_Double_critic_lidar - return_train__MAX"
"124","0","0","0"
"125","0","0","0"
"126","0","0","0"
"127","0","0","0"
"128","0","0","0"
"129","0","0","0"
"130","0","0","0"
"131","0","0","0"
"132","0","0","0"
"133","0","0","0"
"134","0","0","0"
"135","0","0","0"
"136","0","0","0"
"137","0","0","0"
"138","0","0","0"
"139","0","0","0"
"140","0","0","0"
"141","0","0","0"
"142","0","0","0"
"143","0","0","0"
"144","0","0","0"
"145","0","0","0"
"146","0","0","0"
"147","0","0","0"
"148","0","0","0"
"149","0.0399999991","0.0399999991","0.0399999991"
"150","0","0","0"
"151","0","0","0"
"152","0","0","0"
"153","0","0","0"
"154","0.0199999996","0.0199999996","0.0199999996"
"155","0","0","0"
"156","0","0","0"
"157","0","0","0"
"158","0","0","0"
"159","0","0","0"
"160","0","0","0"
"161","0","0","0"
"162","0","0","0"
"163","0","0","0"
"164","0","0","0"
"165","0","0","0"
"166","0.0199999996","0.0199999996","0.0199999996"
"167","0","0","0"
"168","0","0","0"
"169","0","0","0"
"170","0","0","0"
"171","0","0","0"
"172","0","0","0"
"173","0","0","0"
"174","0","0","0"
"175","0","0","0"
"176","0","0","0"
"177","0","0","0"
"178","0","0","0"
"179","0","0","0"
"180","0","0","0"
"181","0","0","0"
"182","0.0199999996","0.0199999996","0.0199999996"
"183","0","0","0"
"184","0","0","0"
"185","0.0199999996","0.0199999996","0.0199999996"
"186","0","0","0"
"187","0","0","0"
"188","0","0","0"
"189","0","0","0"
"190","0","0","0"
"191","0","0","0"
"192","0","0","0"
"193","0","0","0"
"194","0","0","0"
"195","0","0","0"
"196","0","0","0"
"197","0","0","0"
"198","0","0","0"
"199","0","0","0"
"200","0.0499999989","0.0499999989","0.0499999989"
"201","0","0","0"
"202","0","0","0"
"203","0","0","0"
"204","0","0","0"
"205","0","0","0"
"206","0.0099999998","0.0099999998","0.0099999998"
"207","0","0","0"
"208","0","0","0"
"209","0","0","0"
"210","0","0","0"
"211","0","0","0"
"212","0","0","0"
"213","0","0","0"
"214","0","0","0"
"215","0","0","0"
"216","0","0","0"
"217","0","0","0"
"218","0","0","0"
"219","0.0299999993","0.0299999993","0.0299999993"
"220","0","0","0"
"221","0","0","0"
"222","0","0","0"
"223","0","0","0"
"224","0","0","0"
"225","0","0","0"
"226","0","0","0"
"227","0","0","0"
"228","0","0","0"
"229","0","0","0"
"230","0","0","0"
"231","0","0","0"
"232","0","0","0"
"233","0","0","0"
"234","0","0","0"
"235","0","0","0"
"236","0","0","0"
"237","0","0","0"
"238","0","0","0"
"239","0","0","0"
"240","0","0","0"
"241","0","0","0"
"242","0","0","0"
"243","0","0","0"
"244","0","0","0"
"245","0","0","0"
"246","0","0","0"
"247","0","0","0"
"248","0","0","0"
"249","0","0","0"
"250","0","0","0"
"251","0","0","0"
"252","0","0","0"
"253","0","0","0"
"254","0","0","0"
"255","0","0","0"
"256","0","0","0"
"257","0","0","0"
"258","0","0","0"
"259","0","0","0"
"260","0","0","0"
"261","0","0","0"
"262","0","0","0"
"263","0","0","0"
"264","0.0799999982","0.0799999982","0.0799999982"
"265","0","0","0"
"266","0","0","0"
"267","0","0","0"
"268","0","0","0"
"269","0","0","0"
"270","0","0","0"
"271","0","0","0"
"272","0","0","0"
"273","0","0","0"
"274","0","0","0"
"275","0","0","0"
"276","0","0","0"
"277","0","0","0"
"278","0.0599999987","0.0599999987","0.0599999987"
"279","0.0199999996","0.0199999996","0.0199999996"
"280","0","0","0"
"281","0","0","0"
"282","0","0","0"
"283","0","0","0"
"284","0","0","0"
"285","0","0","0"
"286","0","0","0"
"287","0","0","0"
"288","0","0","0"
"289","0","0","0"
"290","0","0","0"
"291","0","0","0"
"292","0","0","0"
"293","0","0","0"
"294","0.0099999998","0.0099999998","0.0099999998"
"295","0","0","0"
"296","0","0","0"
"297","0","0","0"
"298","0.0099999998","0.0099999998","0.0099999998"
"299","0","0","0"
"300","0","0","0"
"301","0","0","0"
"302","0","0","0"
"303","0","0","0"
"304","0","0","0"
"305","0.0399999991","0.0399999991","0.0399999991"
"306","0","0","0"
"307","0","0","0"
"308","0","0","0"
"309","0","0","0"
"310","0.0399999991","0.0399999991","0.0399999991"
"311","0","0","0"
"312","0.0199999996","0.0199999996","0.0199999996"
"313","0","0","0"
"314","0","0","0"
"315","0","0","0"
"316","0","0","0"
"317","0.0599999987","0.0599999987","0.0599999987"
"318","0.0099999998","0.0099999998","0.0099999998"
"319","0","0","0"
"320","0","0","0"
"321","0","0","0"
"322","0","0","0"
"323","0","0","0"
"324","0","0","0"
"325","0","0","0"
"326","0.0199999996","0.0199999996","0.0199999996"
"327","0","0","0"
"328","0","0","0"
"329","0.0099999998","0.0099999998","0.0099999998"
"330","0","0","0"
"331","0.1499999966","0.1499999966","0.1499999966"
"332","0","0","0"
"333","0","0","0"
"334","0","0","0"
"335","0","0","0"
"336","0.0099999998","0.0099999998","0.0099999998"
"337","0.0199999996","0.0199999996","0.0199999996"
"338","0","0","0"
"339","0","0","0"
"340","0","0","0"
"341","0","0","0"
"342","0.0199999996","0.0199999996","0.0199999996"
"343","0.1399999969","0.1399999969","0.1399999969"
"344","0.0499999989","0.0499999989","0.0499999989"
"345","0","0","0"
"346","0.0099999998","0.0099999998","0.0099999998"
"347","0.2199999951","0.2199999951","0.2199999951"
"348","0.9199999794","0.9199999794","0.9199999794"
"349","0.0199999996","0.0199999996","0.0199999996"
"350","0","0","0"
"351","0","0","0"
"352","0.0199999996","0.0199999996","0.0199999996"
"353","0.0199999996","0.0199999996","0.0199999996"
"354","0","0","0"
"355","0","0","0"
"356","0.0099999998","0.0099999998","0.0099999998"
"357","1.2699999716","1.2699999716","1.2699999716"
"358","0","0","0"
"359","0.2099999953","0.2099999953","0.2099999953"
"360","0.2099999953","0.2099999953","0.2099999953"
"361","3.2799999267","3.2799999267","3.2799999267"
"362","0","0","0"
"363","0.1599999964","0.1599999964","0.1599999964"
"364","0.1499999966","0.1499999966","0.1499999966"
"365","0.269999994","0.269999994","0.269999994"
"366","0","0","0"
"367","0","0","0"
"368","0.0999999978","0.0999999978","0.0999999978"
"369","0.0999999978","0.0999999978","0.0999999978"
"370","4.1399999075","4.1399999075","4.1399999075"
"371","1.4599999674","1.4599999674","1.4599999674"
"372","0.0099999998","0.0099999998","0.0099999998"
"373","0","0","0"
"374","0","0","0"
"375","0.3799999915","0.3799999915","0.3799999915"
"376","0.3799999915","0.3799999915","0.3799999915"
"377","7.0499998517","7.0499998517","7.0499998517"
"378","0.0699999984","0.0699999984","0.0699999984"
"379","0.4799999893","0.4799999893","0.4799999893"
"380","4.5199999064","4.5199999064","4.5199999064"
"381","1.119999975","1.119999975","1.119999975"
"382","0","0","0"
"383","0.7199999839","0.7199999839","0.7199999839"
"384","2.8299999367","2.8299999367","2.8299999367"
"385","0.0499999989","0.0499999989","0.0499999989"
"386","1.9199999571","1.9199999571","1.9199999571"
"387","0.0799999982","0.0799999982","0.0799999982"
"388","0.0199999996","0.0199999996","0.0199999996"
"389","0.0699999984","0.0699999984","0.0699999984"
"390","0.0099999998","0.0099999998","0.0099999998"
"391","0.5299999882","0.5299999882","0.5299999882"
"392","0.0599999987","0.0599999987","0.0599999987"
"393","0.0599999987","0.0599999987","0.0599999987"
"394","0.8599999808","0.8599999808","0.8599999808"
"395","0.8599999808","0.8599999808","0.8599999808"
"396","2.7399999481","2.7399999481","2.7399999481"
"397","2.7799999453","2.7799999453","2.7799999453"
"398","1.78999996","1.78999996","1.78999996"
"399","1.78999996","1.78999996","1.78999996"
"400","1.4999999665","1.4999999665","1.4999999665"
"401","1.5799999665","1.5799999665","1.5799999665"
"402","2.1599999517","2.1599999517","2.1599999517"
"403","1.4899999667","1.4899999667","1.4899999667"
"404","0","0","0"
"405","1.5899999645","1.5899999645","1.5899999645"
"406","0.6399999857","0.6399999857","0.6399999857"
"407","0.6399999857","0.6399999857","0.6399999857"
"408","4.4399999473","4.4399999473","4.4399999473"
"409","3.5899999216","3.5899999216","3.5899999216"
"410","0.0099999998","0.0099999998","0.0099999998"
"411","0.6899999846","0.6899999846","0.6899999846"
"412","0.3899999913","0.3899999913","0.3899999913"
"413","0.3899999913","0.3899999913","0.3899999913"
"414","0","0","0"
"415","0","0","0"
"416","10.2299998458","10.2299998458","10.2299998458"
"417","0.359999992","0.359999992","0.359999992"
"418","0.2599999942","0.2599999942","0.2599999942"
"419","0","0","0"
"420","3.0499999318","3.0499999318","3.0499999318"
"421","3.0499999318","3.0499999318","3.0499999318"
"422","3.7199999206","3.7199999206","3.7199999206"
"423","3.7199999206","3.7199999206","3.7199999206"
"424","0.0199999996","0.0199999996","0.0199999996"
"425","0.0199999996","0.0199999996","0.0199999996"
"426","2.9199999347","2.9199999347","2.9199999347"
"427","1.2899999712","1.2899999712","1.2899999712"
"428","0","0","0"
"429","0","0","0"
"430","0","0","0"
"431","11.7799998242","11.7799998242","11.7799998242"
"432","1.6699999627","1.6699999627","1.6699999627"
"433","0.2499999944","0.2499999944","0.2499999944"
"434","0.4499999899","0.4499999899","0.4499999899"
"435","0.1699999962","0.1699999962","0.1699999962"
"436","5.6599999182","5.6599999182","5.6599999182"
"437","0.0499999989","0.0499999989","0.0499999989"
"438","1.7199999616","1.7199999616","1.7199999616"
"439","1.0399999768","1.0399999768","1.0399999768"
"440","1.4199999683","1.4199999683","1.4199999683"
"441","0.8699999806","0.8699999806","0.8699999806"
"442","4.1899999268","4.1899999268","4.1899999268"
"443","0.0699999984","0.0699999984","0.0699999984"
"444","0.579999987","0.579999987","0.579999987"
"445","4.4799999166","4.4799999166","4.4799999166"
"446","0","0","0"
"447","1.6199999638","1.6199999638","1.6199999638"
"448","1.6199999638","1.6199999638","1.6199999638"
"449","13.9099999201","13.9099999201","13.9099999201"
"450","1.6799999624","1.6799999624","1.6799999624"
"451","0","0","0"
"452","3.2199999299","3.2199999299","3.2199999299"
"453","0.3199999928","0.3199999928","0.3199999928"
"454","0","0","0"
"455","0.7899999823","0.7899999823","0.7899999823"
"456","0.7299999837","0.7299999837","0.7299999837"
"457","0.7299999837","0.7299999837","0.7299999837"
"458","3.0999999307","3.0999999307","3.0999999307"
"459","0.1499999966","0.1499999966","0.1499999966"
"460","0.0699999984","0.0699999984","0.0699999984"
"461","0.5199999884","0.5199999884","0.5199999884"
"462","0.2199999951","0.2199999951","0.2199999951"
"463","0.2199999951","0.2199999951","0.2199999951"
"464","5.8599998932","5.8599998932","5.8599998932"
"465","5.8599998932","5.8599998932","5.8599998932"
"466","6.6099999174","6.6099999174","6.6099999174"
"467","2.7999999374","2.7999999374","2.7999999374"
"468","2.1199999526","2.1199999526","2.1199999526"
"469","0","0","0"
"470","0","0","0"
"471","0.0099999998","0.0099999998","0.0099999998"
"472","0.0099999998","0.0099999998","0.0099999998"
"473","2.0799999554","2.0799999554","2.0799999554"
"474","2.0799999554","2.0799999554","2.0799999554"
"475","5.6199999005","5.6199999005","5.6199999005"
"476","4.2199999057","4.2199999057","4.2199999057"
"477","4.2199999057","4.2199999057","4.2199999057"
"478","5.0799999442","5.0799999442","5.0799999442"
"479","5.0799999442","5.0799999442","5.0799999442"
"480","2.8899999354","2.8899999354","2.8899999354"
"481","4.1899999455","4.1899999455","4.1899999455"
"482","4.1899999455","4.1899999455","4.1899999455"
"483","3.4599999245","3.4599999245","3.4599999245"
"484","1.9799999576","1.9799999576","1.9799999576"
"485","1.9799999576","1.9799999576","1.9799999576"
"486","3.8099999186","3.8099999186","3.8099999186"
"487","3.2899999339","3.2899999339","3.2899999339"
"488","0.0599999987","0.0599999987","0.0599999987"
"489","0","0","0"
"490","3.6799999289","3.6799999289","3.6799999289"
"491","0","0","0"
"492","0","0","0"
"493","1.1299999747","1.1299999747","1.1299999747"
"494","0.089999998","0.089999998","0.089999998"
"495","0","0","0"
"496","0.0199999996","0.0199999996","0.0199999996"
"497","6.0599998962","6.0599998962","6.0599998962"
"498","0.1899999958","0.1899999958","0.1899999958"
"499","3.5599999484","3.5599999484","3.5599999484"
"500","0.0099999998","0.0099999998","0.0099999998"
"501","3.5399999432","3.5399999432","3.5399999432"
"502","0.2799999937","0.2799999937","0.2799999937"
"503","0.2799999937","0.2799999937","0.2799999937"
"504","0.1699999962","0.1699999962","0.1699999962"
"505","1.78999996","1.78999996","1.78999996"
"506","0.4099999908","0.4099999908","0.4099999908"
"507","0.4099999908","0.4099999908","0.4099999908"
"508","6.4999998845","6.4999998845","6.4999998845"
"509","6.4999998845","6.4999998845","6.4999998845"
"510","5.7699998934","5.7699998934","5.7699998934"
"511","3.1499999315","3.1499999315","3.1499999315"
"512","0","0","0"
"513","3.9199999683","3.9199999683","3.9199999683"
"514","2.409999948","2.409999948","2.409999948"
"515","1.1599999778","1.1599999778","1.1599999778"
"516","1.1599999778","1.1599999778","1.1599999778"
"517","1.1599999778","1.1599999778","1.1599999778"
"518","13.6999998391","13.6999998391","13.6999998391"
"519","13.6999998391","13.6999998391","13.6999998391"
"520","5.5199999027","5.5199999027","5.5199999027"
"521","5.5199999027","5.5199999027","5.5199999027"
"522","0.0799999982","0.0799999982","0.0799999982"
"523","2.6099999696","2.6099999696","2.6099999696"
"524","0.7199999839","0.7199999839","0.7199999839"
"525","1.8499999586","1.8499999586","1.8499999586"
"526","0.5099999886","0.5099999886","0.5099999886"
"527","0.2199999951","0.2199999951","0.2199999951"
"528","0.2199999951","0.2199999951","0.2199999951"
"529","4.9899998922","4.9899998922","4.9899998922"
"530","2.1299999543","2.1299999543","2.1299999543"
"531","0.0599999987","0.0599999987","0.0599999987"
"532","0.0599999987","0.0599999987","0.0599999987"
"533","6.2999999598","6.2999999598","6.2999999598"
"534","5.7999999523","5.7999999523","5.7999999523"
"535","1.5399999656","1.5399999656","1.5399999656"
"536","1.5399999656","1.5399999656","1.5399999656"
"537","1.5399999656","1.5399999656","1.5399999656"
"538","0","0","0"
"539","0.0499999989","0.0499999989","0.0499999989"
"540","0.0499999989","0.0499999989","0.0499999989"
"541","15.4099998903","15.4099998903","15.4099998903"
"542","0.0399999991","0.0399999991","0.0399999991"
"543","0.0399999991","0.0399999991","0.0399999991"
"544","2.3899999522","2.3899999522","2.3899999522"
"545","2.3899999522","2.3899999522","2.3899999522"
"546","5.5999998972","5.5999998972","5.5999998972"
"547","2.7499999423","2.7499999423","2.7499999423"
"548","2.7499999423","2.7499999423","2.7499999423"
"549","2.7199999392","2.7199999392","2.7199999392"
"550","0.3099999931","0.3099999931","0.3099999931"
"551","0.3099999931","0.3099999931","0.3099999931"
"552","14.5799998399","14.5799998399","14.5799998399"
"553","14.5799998399","14.5799998399","14.5799998399"
"554","14.5799998399","14.5799998399","14.5799998399"
"555","14.5799998399","14.5799998399","14.5799998399"
"556","23.0799998082","23.0799998082","23.0799998082"
"557","23.0799998082","23.0799998082","23.0799998082"
"558","16.1099998802","16.1099998802","16.1099998802"
"559","16.1099998802","16.1099998802","16.1099998802"
"560","4.429999901","4.429999901","4.429999901"
"561","0.2499999944","0.2499999944","0.2499999944"
"562","1.3499999698","1.3499999698","1.3499999698"
"563","1.3499999698","1.3499999698","1.3499999698"
"564","1.3499999698","1.3499999698","1.3499999698"
"565","11.5399997737","11.5399997737","11.5399997737"
"566","2.8599999398","2.8599999398","2.8599999398"
"567","2.8599999398","2.8599999398","2.8599999398"
"568","2.8599999398","2.8599999398","2.8599999398"
"569","16.0599998739","16.0599998739","16.0599998739"
"570","16.0599998739","16.0599998739","16.0599998739"
"571","14.6799998619","14.6799998619","14.6799998619"
"572","14.6799998619","14.6799998619","14.6799998619"
"573","14.6799998619","14.6799998619","14.6799998619"
"574","14.6799998619","14.6799998619","14.6799998619"
"575","21.3799997289","21.3799997289","21.3799997289"
"576","14.2199999299","14.2199999299","14.2199999299"
"577","14.2199999299","14.2199999299","14.2199999299"
"578","14.2199999299","14.2199999299","14.2199999299"
"579","15.8799998239","15.8799998239","15.8799998239"
"580","15.969999956","15.969999956","15.969999956"
"581","15.969999956","15.969999956","15.969999956"
"582","15.969999956","15.969999956","15.969999956"
"583","0","0","0"
"584","1.879999958","1.879999958","1.879999958"
"585","1.879999958","1.879999958","1.879999958"
"586","10.9399998672","10.9399998672","10.9399998672"
"587","10.9399998672","10.9399998672","10.9399998672"
"588","15.4899999611","15.4899999611","15.4899999611"
"589","15.4899999611","15.4899999611","15.4899999611"
"590","15.4899999611","15.4899999611","15.4899999611"
"591","7.1599998437","7.1599998437","7.1599998437"
"592","7.1599998437","7.1599998437","7.1599998437"
"593","7.1599998437","7.1599998437","7.1599998437"
"594","11.2099997941","11.2099997941","11.2099997941"
"595","11.2099997941","11.2099997941","11.2099997941"
"596","18.9999998733","18.9999998733","18.9999998733"
"597","18.9999998733","18.9999998733","18.9999998733"
"598","14.5199998729","14.5199998729","14.5199998729"
"599","14.5199998729","14.5199998729","14.5199998729"
"600","6.8399999347","6.8399999347","6.8399999347"
"601","10.029999895","10.029999895","10.029999895"
"602","10.029999895","10.029999895","10.029999895"
"603","8.8299999051","8.8299999051","8.8299999051"
"604","8.8299999051","8.8299999051","8.8299999051"
"605","8.8299999051","8.8299999051","8.8299999051"
"606","8.8299999051","8.8299999051","8.8299999051"
"607","44.4199998491","44.4199998491","44.4199998491"
"608","44.4199998491","44.4199998491","44.4199998491"
"609","15.7199999653","15.7199999653","15.7199999653"
"610","15.7199999653","15.7199999653","15.7199999653"
"611","15.7199999653","15.7199999653","15.7199999653"
"612","15.7199999653","15.7199999653","15.7199999653"
"613","27.4399996623","27.4399996623","27.4399996623"
"614","27.4399996623","27.4399996623","27.4399996623"
"615","27.4399996623","27.4399996623","27.4399996623"
"616","27.4399996623","27.4399996623","27.4399996623"
"617","148.2899997998","148.2899997998","148.2899997998"
"618","148.2899997998","148.2899997998","148.2899997998"
"619","14.2699999344","14.2699999344","14.2699999344"
"620","14.2699999344","14.2699999344","14.2699999344"
"621","14.2699999344","14.2699999344","14.2699999344"
"622","24.919999795","24.919999795","24.919999795"
"623","24.919999795","24.919999795","24.919999795"
"624","24.919999795","24.919999795","24.919999795"
"625","24.919999795","24.919999795","24.919999795"
"626","20.4899997748","20.4899997748","20.4899997748"
"627","15.6899999715","15.6899999715","15.6899999715"
"628","15.6899999715","15.6899999715","15.6899999715"
"629","15.6899999715","15.6899999715","15.6899999715"
"630","27.469999915","27.469999915","27.469999915"
"631","27.469999915","27.469999915","27.469999915"
"632","27.469999915","27.469999915","27.469999915"
"633","14.5599998198","14.5599998198","14.5599998198"
"634","14.3799999747","14.3799999747","14.3799999747"
"635","14.3799999747","14.3799999747","14.3799999747"
"636","16.409999961","16.409999961","16.409999961"
"637","7.8699999265","7.8699999265","7.8699999265"
"638","7.8699999265","7.8699999265","7.8699999265"
"639","13.9799999166","13.9799999166","13.9799999166"
"640","13.9799999166","13.9799999166","13.9799999166"
"641","17.5499999765","17.5499999765","17.5499999765"
"642","17.5499999765","17.5499999765","17.5499999765"
"643","17.5499999765","17.5499999765","17.5499999765"
"644","148.2899997961","148.2899997961","148.2899997961"
"645","148.2899997961","148.2899997961","148.2899997961"
"646","148.2899997961","148.2899997961","148.2899997961"
"647","148.2899997961","148.2899997961","148.2899997961"
"648","148.2899997961","148.2899997961","148.2899997961"
"649","148.2899997383","148.2899997383","148.2899997383"
"650","148.2899997383","148.2899997383","148.2899997383"
"651","148.2899997383","148.2899997383","148.2899997383"
"652","148.2899997383","148.2899997383","148.2899997383"
"653","148.2899999022","148.2899999022","148.2899999022"
"654","14.7200000286","14.7200000286","14.7200000286"
"655","16.6799999289","16.6799999289","16.6799999289"
"656","16.6799999289","16.6799999289","16.6799999289"
"657","8.7299999315","8.7299999315","8.7299999315"
"658","16.4999999292","16.4999999292","16.4999999292"
"659","16.4999999292","16.4999999292","16.4999999292"
"660","14.3699999526","14.3699999526","14.3699999526"
"661","7.8000000268","7.8000000268","7.8000000268"
"662","7.8000000268","7.8000000268","7.8000000268"
"663","7.8000000268","7.8000000268","7.8000000268"
"664","45.0699999444","45.0699999444","45.0699999444"
"665","2.5399999842","2.5399999842","2.5399999842"
"666","2.5399999842","2.5399999842","2.5399999842"
"667","2.5399999842","2.5399999842","2.5399999842"
"668","2.5399999842","2.5399999842","2.5399999842"
"669","148.2999998797","148.2999998797","148.2999998797"
"670","148.2999998797","148.2999998797","148.2999998797"
"671","148.2999998797","148.2999998797","148.2999998797"
"672","26.1199999489","26.1199999489","26.1199999489"
"673","3.7999999896","3.7999999896","3.7999999896"
"674","3.7999999896","3.7999999896","3.7999999896"
"675","3.7999999896","3.7999999896","3.7999999896"
"676","148.2899998911","148.2899998911","148.2899998911"
"677","148.2899998911","148.2899998911","148.2899998911"
"678","148.2899998911","148.2899998911","148.2899998911"
"679","148.2899998911","148.2899998911","148.2899998911"
"680","148.2899998911","148.2899998911","148.2899998911"
"681","148.2899998911","148.2899998911","148.2899998911"
"682","148.2899998911","148.2899998911","148.2899998911"
"683","148.2899986934","148.2899986934","148.2899986934"
"684","148.2899986934","148.2899986934","148.2899986934"
"685","148.2899986934","148.2899986934","148.2899986934"
"686","148.2899986934","148.2899986934","148.2899986934"
"687","148.2899999041","148.2899999041","148.2899999041"
"688","15.2299999539","15.2299999539","15.2299999539"
"689","15.2299999539","15.2299999539","15.2299999539"
"690","15.2299999539","15.2299999539","15.2299999539"
"691","15.2299999539","15.2299999539","15.2299999539"
"692","148.2899999339","148.2899999339","148.2899999339"
"693","148.2899999339","148.2899999339","148.2899999339"
"694","148.2899999339","148.2899999339","148.2899999339"
"695","148.2899999339","148.2899999339","148.2899999339"
"696","44.8699999303","44.8699999303","44.8699999303"
"697","13.3800000176","13.3800000176","13.3800000176"
"698","13.3800000176","13.3800000176","13.3800000176"
"699","13.3800000176","13.3800000176","13.3800000176"
"700","13.3800000176","13.3800000176","13.3800000176"
"701","148.289999919","148.289999919","148.289999919"
"702","148.289999919","148.289999919","148.289999919"
"703","148.289999919","148.289999919","148.289999919"
"704","148.289999878","148.289999878","148.289999878"
"705","14.5599999651","14.5599999651","14.5599999651"
"706","2.9000000041","2.9000000041","2.9000000041"
"707","4.2299999986","4.2299999986","4.2299999986"
"708","4.2299999986","4.2299999986","4.2299999986"
"709","4.2299999986","4.2299999986","4.2299999986"
"710","4.2299999986","4.2299999986","4.2299999986"
"711","148.28999996","148.28999996","148.28999996"
"712","148.28999996","148.28999996","148.28999996"
"713","148.28999996","148.28999996","148.28999996"
"714","148.28999996","148.28999996","148.28999996"
"715","148.2899999451","148.2899999451","148.2899999451"
"716","148.2899999451","148.2899999451","148.2899999451"
"717","148.2899999451","148.2899999451","148.2899999451"
"718","148.2899999879","148.2899999879","148.2899999879"
"719","148.2899999879","148.2899999879","148.2899999879"
"720","148.2899999879","148.2899999879","148.2899999879"
"721","148.2899999879","148.2899999879","148.2899999879"
"722","148.2899998575","148.2899998575","148.2899998575"
"723","3.7200000156","3.7200000156","3.7200000156"
"724","3.7200000156","3.7200000156","3.7200000156"
"725","3.7200000156","3.7200000156","3.7200000156"
"726","3.7200000156","3.7200000156","3.7200000156"
"727","5.3999999855","5.3999999855","5.3999999855"
"728","2.5599999987","2.5599999987","2.5599999987"
"729","2.5599999987","2.5599999987","2.5599999987"
"730","2.5599999987","2.5599999987","2.5599999987"
"731","148.2900030371","148.2900030371","148.2900030371"
"732","148.2900030371","148.2900030371","148.2900030371"
"733","148.2900030371","148.2900030371","148.2900030371"
"734","148.2900030371","148.2900030371","148.2900030371"
"735","148.2899999246","148.2899999246","148.2899999246"
"736","15.679999968","15.679999968","15.679999968"
"737","4.4799999595","4.4799999595","4.4799999595"
"738","4.4799999595","4.4799999595","4.4799999595"
"739","4.4799999595","4.4799999595","4.4799999595"
"740","4.4799999595","4.4799999595","4.4799999595"
"741","148.2899998873","148.2899998873","148.2899998873"
"742","15.4799999911","15.4799999911","15.4799999911"
"743","15.4799999911","15.4799999911","15.4799999911"
"744","15.4799999911","15.4799999911","15.4799999911"
