"Step","SAC_Double_critic_lidar - loss_critic","SAC_Double_critic_lidar - loss_critic__MIN","SAC_Double_critic_lidar - loss_critic__MAX"
"247","0.0439491298","0.0439491298","0.0439491298"
"248","0.0483400139","0.0483400139","0.0483400139"
"249","0.0427306557","0.0427306557","0.0427306557"
"250","0.0472787642","0.0472787642","0.0472787642"
"251","0.0443034033","0.0443034033","0.0443034033"
"252","0.0478214639","0.0478214639","0.0478214639"
"253","0.0432831893","0.0432831893","0.0432831893"
"254","0.0413463636","0.0413463636","0.0413463636"
"255","0.0418098361","0.0418098361","0.0418098361"
"256","0.0400081979","0.0400081979","0.0400081979"
"257","0.0412944452","0.0412944452","0.0412944452"
"258","0.0400028891","0.0400028891","0.0400028891"
"259","0.0422434864","0.0422434864","0.0422434864"
"260","0.0382407729","0.0382407729","0.0382407729"
"261","0.0384551221","0.0384551221","0.0384551221"
"262","0.0370827134","0.0370827134","0.0370827134"
"263","0.0382810766","0.0382810766","0.0382810766"
"264","0.0391591492","0.0391591492","0.0391591492"
"265","0.0396563165","0.0396563165","0.0396563165"
"266","0.03784299","0.03784299","0.03784299"
"267","0.0353497399","0.0353497399","0.0353497399"
"268","0.0349202532","0.0349202532","0.0349202532"
"269","0.0365786373","0.0365786373","0.0365786373"
"270","0.0369940664","0.0369940664","0.0369940664"
"271","0.0323653004","0.0323653004","0.0323653004"
"272","0.0338064194","0.0338064194","0.0338064194"
"273","0.0334641394","0.0334641394","0.0334641394"
"274","0.0329807216","0.0329807216","0.0329807216"
"275","0.0335389639","0.0335389639","0.0335389639"
"276","0.0341955712","0.0341955712","0.0341955712"
"277","0.0323009311","0.0323009311","0.0323009311"
"278","0.0319427546","0.0319427546","0.0319427546"
"279","0.0329893847","0.0329893847","0.0329893847"
"280","0.0310915395","0.0310915395","0.0310915395"
"281","0.0298684682","0.0298684682","0.0298684682"
"282","0.0329255642","0.0329255642","0.0329255642"
"283","0.031643407","0.031643407","0.031643407"
"284","0.0333219371","0.0333219371","0.0333219371"
"285","0.0292484621","0.0292484621","0.0292484621"
"286","0.0291187979","0.0291187979","0.0291187979"
"287","0.0307555091","0.0307555091","0.0307555091"
"288","0.0321527211","0.0321527211","0.0321527211"
"289","0.0308164071","0.0308164071","0.0308164071"
"290","0.0313192612","0.0313192612","0.0313192612"
"291","0.0308105147","0.0308105147","0.0308105147"
"292","0.0272701095","0.0272701095","0.0272701095"
"293","0.0290849245","0.0290849245","0.0290849245"
"294","0.0279601732","0.0279601732","0.0279601732"
"295","0.0292766543","0.0292766543","0.0292766543"
"296","0.0282127273","0.0282127273","0.0282127273"
"297","0.0267621333","0.0267621333","0.0267621333"
"298","0.0273362013","0.0273362013","0.0273362013"
"299","0.0271934613","0.0271934613","0.0271934613"
"300","0.0284459497","0.0284459497","0.0284459497"
"301","0.0268354582","0.0268354582","0.0268354582"
"302","0.026235976","0.026235976","0.026235976"
"303","0.0288375389","0.0288375389","0.0288375389"
"304","0.0281852468","0.0281852468","0.0281852468"
