"Step","DDPG_short_test_track_LIDAR - loss_critic","DDPG_short_test_track_LIDAR - loss_critic__MIN","DDPG_short_test_track_LIDAR - loss_critic__MAX"
"112","0.0977653827","0.0977653827","0.0977653827"
"113","0.1080709277","0.1080709277","0.1080709277"
"114","0.1403363546","0.1403363546","0.1403363546"
"115","0.1194756405","0.1194756405","0.1194756405"
"116","0.1068026186","0.1068026186","0.1068026186"
"117","0.1296252605","0.1296252605","0.1296252605"
"118","0.1053352706","0.1053352706","0.1053352706"
"119","0.104176291","0.104176291","0.104176291"
"120","0.1095372168","0.1095372168","0.1095372168"
"121","0.1004037749","0.1004037749","0.1004037749"
"122","0.1013751565","0.1013751565","0.1013751565"
"123","0.0950614949","0.0950614949","0.0950614949"
"124","0.0986626571","0.0986626571","0.0986626571"
"125","0.1168001597","0.1168001597","0.1168001597"
"126","0.0880353229","0.0880353229","0.0880353229"
"127","0.0873284134","0.0873284134","0.0873284134"
"128","0.0916900197","0.0916900197","0.0916900197"
"129","0.0779401246","0.0779401246","0.0779401246"
"130","0.0905830889","0.0905830889","0.0905830889"
"131","0.0772572115","0.0772572115","0.0772572115"
"132","0.0764926266","0.0764926266","0.0764926266"
"133","0.0918846263","0.0918846263","0.0918846263"
"134","0.0819239477","0.0819239477","0.0819239477"
"135","0.0800932911","0.0800932911","0.0800932911"
"136","0.0682556423","0.0682556423","0.0682556423"
"137","0.0676352392","0.0676352392","0.0676352392"
"138","0.0722286576","0.0722286576","0.0722286576"
"139","0.0644239615","0.0644239615","0.0644239615"
"140","0.0809947648","0.0809947648","0.0809947648"
"141","0.0611985818","0.0611985818","0.0611985818"
"142","0.0634688551","0.0634688551","0.0634688551"
"143","0.0599430818","0.0599430818","0.0599430818"
"144","0.0502030686","0.0502030686","0.0502030686"
"145","0.0523267416","0.0523267416","0.0523267416"
"146","0.0624473594","0.0624473594","0.0624473594"
"147","0.0548467868","0.0548467868","0.0548467868"
"148","0.0755789909","0.0755789909","0.0755789909"
"149","0.0537358967","0.0537358967","0.0537358967"
"150","0.0787854859","0.0787854859","0.0787854859"
"151","0.0921335176","0.0921335176","0.0921335176"
"152","0.1087143582","0.1087143582","0.1087143582"
"153","0.0838057766","0.0838057766","0.0838057766"
"154","0.0699472646","0.0699472646","0.0699472646"
"155","0.0594346548","0.0594346548","0.0594346548"
"156","0.1256130015","0.1256130015","0.1256130015"
"157","0.0806886263","0.0806886263","0.0806886263"
"158","0.1414012418","0.1414012418","0.1414012418"
"159","0.0985854081","0.0985854081","0.0985854081"
"160","0.1012124873","0.1012124873","0.1012124873"
"161","0.0806187859","0.0806187859","0.0806187859"
"162","0.0724789508","0.0724789508","0.0724789508"
"163","0.0742021119","0.0742021119","0.0742021119"
"164","0.0734887741","0.0734887741","0.0734887741"
"165","0.0807302936","0.0807302936","0.0807302936"
"166","0.0658366058","0.0658366058","0.0658366058"
"167","0.0662686805","0.0662686805","0.0662686805"
"168","0.0765116693","0.0765116693","0.0765116693"
"169","0.0688889576","0.0688889576","0.0688889576"
"170","0.0641762551","0.0641762551","0.0641762551"
"171","0.0612268245","0.0612268245","0.0612268245"
"172","0.062155418","0.062155418","0.062155418"
"173","0.0825667217","0.0825667217","0.0825667217"
"174","0.0804602385","0.0804602385","0.0804602385"
"175","0.0664243963","0.0664243963","0.0664243963"
"176","0.0612258985","0.0612258985","0.0612258985"
"177","0.0732436207","0.0732436207","0.0732436207"
"178","0.0676052846","0.0676052846","0.0676052846"
"179","0.0751571317","0.0751571317","0.0751571317"
"180","0.0640604742","0.0640604742","0.0640604742"
"181","0.0887099665","0.0887099665","0.0887099665"
"182","0.0737207814","0.0737207814","0.0737207814"
"183","0.0735341465","0.0735341465","0.0735341465"
"184","0.0693314005","0.0693314005","0.0693314005"
"185","0.0688147731","0.0688147731","0.0688147731"
"186","0.0674958528","0.0674958528","0.0674958528"
"187","0.0866744875","0.0866744875","0.0866744875"
"188","0.0835274922","0.0835274922","0.0835274922"
"189","0.080470266","0.080470266","0.080470266"
"190","0.074777279","0.074777279","0.074777279"
"191","0.0765412038","0.0765412038","0.0765412038"
"192","0.0717932107","0.0717932107","0.0717932107"
"193","0.0896354939","0.0896354939","0.0896354939"
"194","0.0763593902","0.0763593902","0.0763593902"
"195","0.098507062","0.098507062","0.098507062"
"196","0.0802183634","0.0802183634","0.0802183634"
"197","0.0753431796","0.0753431796","0.0753431796"
"198","0.0882051563","0.0882051563","0.0882051563"
"199","0.0820408919","0.0820408919","0.0820408919"
"200","0.0837424349","0.0837424349","0.0837424349"
"201","0.078445411","0.078445411","0.078445411"
"202","0.0776898941","0.0776898941","0.0776898941"
"203","0.1122481779","0.1122481779","0.1122481779"
"204","0.107311024","0.107311024","0.107311024"
"205","0.094153695","0.094153695","0.094153695"
"206","0.0862514029","0.0862514029","0.0862514029"
"207","0.0947505672","0.0947505672","0.0947505672"
"208","0.0956950337","0.0956950337","0.0956950337"
"209","0.0937445171","0.0937445171","0.0937445171"
"210","0.1051417009","0.1051417009","0.1051417009"
"211","0.1061698977","0.1061698977","0.1061698977"
"212","0.0954154664","0.0954154664","0.0954154664"
"213","0.0958375223","0.0958375223","0.0958375223"
"214","0.0928245696","0.0928245696","0.0928245696"
"215","0.0857771239","0.0857771239","0.0857771239"
"216","0.1025399045","0.1025399045","0.1025399045"
"217","0.0994420244","0.0994420244","0.0994420244"
"218","0.1210810953","0.1210810953","0.1210810953"
"219","0.1112671489","0.1112671489","0.1112671489"
"220","0.1001174232","0.1001174232","0.1001174232"
"221","0.1083887261","0.1083887261","0.1083887261"
"222","0.1021312091","0.1021312091","0.1021312091"
"223","0.099329576","0.099329576","0.099329576"
"224","0.103274355","0.103274355","0.103274355"
"225","0.1021550726","0.1021550726","0.1021550726"
