"Step","SAC_short_test_track - loss_critic","SAC_short_test_track - loss_critic__MIN","SAC_short_test_track - loss_critic__MAX"
"364","0.0681621079","0.0681621079","0.0681621079"
"365","0.4919306632","0.4919306632","0.4919306632"
"366","0.0742107051","0.0742107051","0.0742107051"
"367","0.0623911002","0.0623911002","0.0623911002"
"368","0.7418052214","0.7418052214","0.7418052214"
"369","0.4842684671","0.4842684671","0.4842684671"
"370","0.3744519555","0.3744519555","0.3744519555"
"371","0.122226358","0.122226358","0.122226358"
"372","0.0767037154","0.0767037154","0.0767037154"
"373","0.7551910204","0.7551910204","0.7551910204"
"374","0.3047316094","0.3047316094","0.3047316094"
"375","0.1067204138","0.1067204138","0.1067204138"
"376","0.7077579715","0.7077579715","0.7077579715"
"377","0.0961865458","0.0961865458","0.0961865458"
"378","0.073459677","0.073459677","0.073459677"
"379","0.0955660602","0.0955660602","0.0955660602"
"380","0.056504683","0.056504683","0.056504683"
"381","0.0603247814","0.0603247814","0.0603247814"
"382","0.4166595092","0.4166595092","0.4166595092"
"383","0.495602814","0.495602814","0.495602814"
"384","0.6026037937","0.6026037937","0.6026037937"
"385","0.6281123237","0.6281123237","0.6281123237"
"386","0.1238245884","0.1238245884","0.1238245884"
"387","0.4321110358","0.4321110358","0.4321110358"
"388","0.4293504155","0.4293504155","0.4293504155"
"389","0.3476226602","0.3476226602","0.3476226602"
"390","0.0761116367","0.0761116367","0.0761116367"
"391","0.2568684501","0.2568684501","0.2568684501"
"392","0.3721774982","0.3721774982","0.3721774982"
"393","0.6244551789","0.6244551789","0.6244551789"
"394","0.0584527531","0.0584527531","0.0584527531"
"395","1.2075419984","1.2075419984","1.2075419984"
"396","0.1091048985","0.1091048985","0.1091048985"
"397","0.3229951453","0.3229951453","0.3229951453"
"398","0.6419568364","0.6419568364","0.6419568364"
"399","0.3535893936","0.3535893936","0.3535893936"
"400","0.5329311586","0.5329311586","0.5329311586"
"401","0.1017383555","0.1017383555","0.1017383555"
"402","0.5749831484","0.5749831484","0.5749831484"
"403","0.1122323204","0.1122323204","0.1122323204"
"404","0.5551710794","0.5551710794","0.5551710794"
"405","0.1012652781","0.1012652781","0.1012652781"
"406","0.0980966604","0.0980966604","0.0980966604"
"407","0.1267984202","0.1267984202","0.1267984202"
"408","0.8816073458","0.8816073458","0.8816073458"
"409","0.2417497002","0.2417497002","0.2417497002"
"410","0.1206308052","0.1206308052","0.1206308052"
"411","0.1504023816","0.1504023816","0.1504023816"
"412","0.1186136364","0.1186136364","0.1186136364"
"413","0.417940438","0.417940438","0.417940438"
"414","0.3785186234","0.3785186234","0.3785186234"
"415","0.2154132729","0.2154132729","0.2154132729"
"416","0.2267058931","0.2267058931","0.2267058931"
"417","0.3478544453","0.3478544453","0.3478544453"
"418","0.291261477","0.291261477","0.291261477"
"419","0.1744054069","0.1744054069","0.1744054069"
"420","0.3044517986","0.3044517986","0.3044517986"
"421","0.1901244777","0.1901244777","0.1901244777"
"422","0.2094491778","0.2094491778","0.2094491778"
"423","0.1816569624","0.1816569624","0.1816569624"
"424","0.2210551437","0.2210551437","0.2210551437"
"425","0.1559534332","0.1559534332","0.1559534332"
"426","0.1611211573","0.1611211573","0.1611211573"
"427","0.1540536353","0.1540536353","0.1540536353"
"428","0.2173052204","0.2173052204","0.2173052204"
"429","0.1895498017","0.1895498017","0.1895498017"
"430","0.1777013806","0.1777013806","0.1777013806"
"431","0.5547089938","0.5547089938","0.5547089938"
"432","0.9901564864","0.9901564864","0.9901564864"
"433","0.1769655873","0.1769655873","0.1769655873"
"434","0.4839718606","0.4839718606","0.4839718606"
"435","0.2691056642","0.2691056642","0.2691056642"
"436","0.690330866","0.690330866","0.690330866"
"437","0.2309663946","0.2309663946","0.2309663946"
"438","0.1804659981","0.1804659981","0.1804659981"
"439","0.3784051329","0.3784051329","0.3784051329"
"440","0.3320818457","0.3320818457","0.3320818457"
"441","0.3026648916","0.3026648916","0.3026648916"
"442","0.3673610464","0.3673610464","0.3673610464"
"443","0.2471916499","0.2471916499","0.2471916499"
"444","0.5281560603","0.5281560603","0.5281560603"
"445","0.1855112582","0.1855112582","0.1855112582"
"446","0.2540877326","0.2540877326","0.2540877326"
"447","0.1735325426","0.1735325426","0.1735325426"
"448","0.1624446601","0.1624446601","0.1624446601"
"449","0.2241532269","0.2241532269","0.2241532269"
"450","0.2314711032","0.2314711032","0.2314711032"
"451","0.3402336525","0.3402336525","0.3402336525"
"452","0.2165865845","0.2165865845","0.2165865845"
"453","0.4606404632","0.4606404632","0.4606404632"
"454","0.1890462064","0.1890462064","0.1890462064"
"455","0.3111924922","0.3111924922","0.3111924922"
"456","0.1922615752","0.1922615752","0.1922615752"
"457","0.3781123691","0.3781123691","0.3781123691"
"458","0.2354120132","0.2354120132","0.2354120132"
"459","0.2813139767","0.2813139767","0.2813139767"
"460","0.6432339427","0.6432339427","0.6432339427"
"461","0.7370335571","0.7370335571","0.7370335571"
"462","0.2310875097","0.2310875097","0.2310875097"
"463","0.2171925461","0.2171925461","0.2171925461"
"464","0.2293005303","0.2293005303","0.2293005303"
"465","0.1969712355","0.1969712355","0.1969712355"
"466","0.2104695061","0.2104695061","0.2104695061"
"467","0.195966487","0.195966487","0.195966487"
"468","0.630182533","0.630182533","0.630182533"
"469","0.1833974139","0.1833974139","0.1833974139"
"470","0.192985074","0.192985074","0.192985074"
"471","0.5654008028","0.5654008028","0.5654008028"
"472","0.6817960583","0.6817960583","0.6817960583"
"473","0.8489666266","0.8489666266","0.8489666266"
"474","0.337525431","0.337525431","0.337525431"
"475","0.4498556326","0.4498556326","0.4498556326"
"476","0.2965119337","0.2965119337","0.2965119337"
"477","0.6780857463","0.6780857463","0.6780857463"
"478","0.4133734335","0.4133734335","0.4133734335"
"479","0.4434299003","0.4434299003","0.4434299003"
"480","0.4478695598","0.4478695598","0.4478695598"
"481","0.7951073689","0.7951073689","0.7951073689"
"482","0.277244981","0.277244981","0.277244981"
"483","0.2904950537","0.2904950537","0.2904950537"
"484","0.3091637291","0.3091637291","0.3091637291"
"485","0.2445996378","0.2445996378","0.2445996378"
"486","0.2644689869","0.2644689869","0.2644689869"
"487","0.2519289713","0.2519289713","0.2519289713"
"488","0.3052893696","0.3052893696","0.3052893696"
"489","0.1853846865","0.1853846865","0.1853846865"
"490","0.2721836027","0.2721836027","0.2721836027"
"491","0.2604381787","0.2604381787","0.2604381787"
"492","0.2115050125","0.2115050125","0.2115050125"
"493","0.2901431055","0.2901431055","0.2901431055"
"494","0.363613133","0.363613133","0.363613133"
"495","0.291759832","0.291759832","0.291759832"
"496","0.2353085643","0.2353085643","0.2353085643"
"497","0.1966173271","0.1966173271","0.1966173271"
"498","0.268046841","0.268046841","0.268046841"
"499","0.2299069151","0.2299069151","0.2299069151"
"500","0.26953196","0.26953196","0.26953196"
"501","0.4046463636","0.4046463636","0.4046463636"
"502","0.2545175722","0.2545175722","0.2545175722"
"503","0.2660034832","0.2660034832","0.2660034832"
"504","0.269681741","0.269681741","0.269681741"
"505","0.2513808409","0.2513808409","0.2513808409"
"506","0.2502076893","0.2502076893","0.2502076893"
"507","0.2595872143","0.2595872143","0.2595872143"
"508","0.2433212462","0.2433212462","0.2433212462"
"509","0.2927494623","0.2927494623","0.2927494623"
"510","0.4841247157","0.4841247157","0.4841247157"
"511","0.2566637986","0.2566637986","0.2566637986"
"512","0.2248135163","0.2248135163","0.2248135163"
"513","0.2953949173","0.2953949173","0.2953949173"
"514","0.2593614995","0.2593614995","0.2593614995"
"515","0.3030008529","0.3030008529","0.3030008529"
"516","0.2604637475","0.2604637475","0.2604637475"
"517","0.345272825","0.345272825","0.345272825"
"518","0.343774543","0.343774543","0.343774543"
"519","1.0735810804","1.0735810804","1.0735810804"
"520","0.2627773503","0.2627773503","0.2627773503"
"521","0.9251923822","0.9251923822","0.9251923822"
"522","0.3460957467","0.3460957467","0.3460957467"
"523","0.2394446133","0.2394446133","0.2394446133"
"524","0.6315360614","0.6315360614","0.6315360614"
"525","0.2853656995","0.2853656995","0.2853656995"
"526","0.3630365092","0.3630365092","0.3630365092"
"527","0.3584643143","0.3584643143","0.3584643143"
"528","0.4161443802","0.4161443802","0.4161443802"
"529","0.4852172231","0.4852172231","0.4852172231"
"530","0.3202243494","0.3202243494","0.3202243494"
"531","0.3742394337","0.3742394337","0.3742394337"
"532","0.4070564673","0.4070564673","0.4070564673"
"533","0.7359026456","0.7359026456","0.7359026456"
"534","0.65381155","0.65381155","0.65381155"
"535","0.2871367244","0.2871367244","0.2871367244"
"536","0.3836099826","0.3836099826","0.3836099826"
"537","0.313892081","0.313892081","0.313892081"
"538","0.2815913837","0.2815913837","0.2815913837"
"539","0.4111269454","0.4111269454","0.4111269454"
"540","0.3914682557","0.3914682557","0.3914682557"
"541","0.2766128439","0.2766128439","0.2766128439"
