"Step","DDPG_short_test_track_LIDAR - loss_actor","DDPG_short_test_track_LIDAR - loss_actor__MIN","DDPG_short_test_track_LIDAR - loss_actor__MAX"
"171","-1.7457336313","-1.7457336313","-1.7457336313"
"172","-1.7506235933","-1.7506235933","-1.7506235933"
"173","-1.8478807837","-1.8478807837","-1.8478807837"
"174","-1.8819176173","-1.8819176173","-1.8819176173"
"175","-1.925181945","-1.925181945","-1.925181945"
"176","-1.9217156404","-1.9217156404","-1.9217156404"
"177","-1.9969707614","-1.9969707614","-1.9969707614"
"178","-2.0184168833","-2.0184168833","-2.0184168833"
"179","-2.0205880338","-2.0205880338","-2.0205880338"
"180","-2.0415443933","-2.0415443933","-2.0415443933"
"181","-2.1323290461","-2.1323290461","-2.1323290461"
"182","-2.1618106258","-2.1618106258","-2.1618106258"
"183","-2.1644503605","-2.1644503605","-2.1644503605"
"184","-2.2012762481","-2.2012762481","-2.2012762481"
"185","-2.2056492227","-2.2056492227","-2.2056492227"
"186","-2.2328985643","-2.2328985643","-2.2328985643"
"187","-2.3750207812","-2.3750207812","-2.3750207812"
"188","-2.3911990327","-2.3911990327","-2.3911990327"
"189","-2.3953113163","-2.3953113163","-2.3953113163"
"190","-2.4156780446","-2.4156780446","-2.4156780446"
"191","-2.438802352","-2.438802352","-2.438802352"
"192","-2.4696939993","-2.4696939993","-2.4696939993"
"193","-2.5458499217","-2.5458499217","-2.5458499217"
"194","-2.5689085758","-2.5689085758","-2.5689085758"
"195","-2.5765308523","-2.5765308523","-2.5765308523"
"196","-2.6106897748","-2.6106897748","-2.6106897748"
"197","-2.6100589681","-2.6100589681","-2.6100589681"
"198","-2.6560859013","-2.6560859013","-2.6560859013"
"199","-2.6818376946","-2.6818376946","-2.6818376946"
"200","-2.6979398596","-2.6979398596","-2.6979398596"
"201","-2.7174518931","-2.7174518931","-2.7174518931"
"202","-2.7341909838","-2.7341909838","-2.7341909838"
"203","-2.8621239614","-2.8621239614","-2.8621239614"
"204","-2.900609113","-2.900609113","-2.900609113"
"205","-2.9211583722","-2.9211583722","-2.9211583722"
"206","-2.947914623","-2.947914623","-2.947914623"
"207","-2.9667982256","-2.9667982256","-2.9667982256"
"208","-3.0020770586","-3.0020770586","-3.0020770586"
"209","-3.0169754946","-3.0169754946","-3.0169754946"
"210","-3.0444227481","-3.0444227481","-3.0444227481"
"211","-3.0609461129","-3.0609461129","-3.0609461129"
"212","-3.0793557608","-3.0793557608","-3.0793557608"
"213","-3.1052199364","-3.1052199364","-3.1052199364"
"214","-3.1137528384","-3.1137528384","-3.1137528384"
"215","-3.1533434141","-3.1533434141","-3.1533434141"
"216","-3.2020757747","-3.2020757747","-3.2020757747"
"217","-3.2140894425","-3.2140894425","-3.2140894425"
"218","-3.2519033575","-3.2519033575","-3.2519033575"
"219","-3.2550094187","-3.2550094187","-3.2550094187"
