"Step","DDPG_short_test_track_LIDAR - return_train","DDPG_short_test_track_LIDAR - return_train__MIN","DDPG_short_test_track_LIDAR - return_train__MAX"
"198","5.4799999818","5.4799999818","5.4799999818"
"199","5.4799999818","5.4799999818","5.4799999818"
"200","5.4799999818","5.4799999818","5.4799999818"
"201","5.4799999818","5.4799999818","5.4799999818"
"202","5.4799999818","5.4799999818","5.4799999818"
"203","38.382649835","38.382649835","38.382649835"
"204","40.6699998248","40.6699998248","40.6699998248"
"205","40.6699998248","40.6699998248","40.6699998248"
"206","40.6699998248","40.6699998248","40.6699998248"
"207","6.0699999779","6.0699999779","6.0699999779"
"208","6.0699999779","6.0699999779","6.0699999779"
"209","6.0699999779","6.0699999779","6.0699999779"
"210","1.929999968","1.929999968","1.929999968"
"211","1.929999968","1.929999968","1.929999968"
"212","1.3299999796","1.3299999796","1.3299999796"
"213","1.3299999796","1.3299999796","1.3299999796"
"214","1.3299999796","1.3299999796","1.3299999796"
"215","1.3299999796","1.3299999796","1.3299999796"
"216","8.5699999202","8.5699999202","8.5699999202"
"217","8.5699999202","8.5699999202","8.5699999202"
"218","2.6899999883","2.6899999883","2.6899999883"
"219","2.6899999883","2.6899999883","2.6899999883"
"220","2.6899999883","2.6899999883","2.6899999883"
"221","1.8299999721","1.8299999721","1.8299999721"
"222","1.8299999721","1.8299999721","1.8299999721"
"223","1.8299999721","1.8299999721","1.8299999721"
"224","1.8299999721","1.8299999721","1.8299999721"
"225","1.8299999721","1.8299999721","1.8299999721"
"226","17.6699999329","17.6699999329","17.6699999329"
"227","17.6699999329","17.6699999329","17.6699999329"
"228","17.6699999329","17.6699999329","17.6699999329"
"229","2.1100000031","2.1100000031","2.1100000031"
"230","2.1100000031","2.1100000031","2.1100000031"
"231","5.3499999996","5.3499999996","5.3499999996"
"232","5.3499999996","5.3499999996","5.3499999996"
"233","5.3499999996","5.3499999996","5.3499999996"
"234","6.1000000089","6.1000000089","6.1000000089"
"235","6.1000000089","6.1000000089","6.1000000089"
"236","1.5399999768","1.5399999768","1.5399999768"
"237","1.5399999768","1.5399999768","1.5399999768"
"238","3.039999973","3.039999973","3.039999973"
"239","3.039999973","3.039999973","3.039999973"
"240","3.039999973","3.039999973","3.039999973"
"241","3.039999973","3.039999973","3.039999973"
"242","3.039999973","3.039999973","3.039999973"
"243","3.039999973","3.039999973","3.039999973"
"244","17.5099999383","17.5099999383","17.5099999383"
"245","17.5099999383","17.5099999383","17.5099999383"
"246","1.6999999806","1.6999999806","1.6999999806"
"247","1.6999999806","1.6999999806","1.6999999806"
"248","2.5700000133","2.5700000133","2.5700000133"
"249","2.5700000133","2.5700000133","2.5700000133"
"250","2.5700000133","2.5700000133","2.5700000133"
"251","2.5700000133","2.5700000133","2.5700000133"
"252","2.5700000133","2.5700000133","2.5700000133"
