,idle_time,round_time,return_train,episode_length_train,_runtime,return_test,training_step_duration,loss_critic,memory_len,loss_actor,sampling_duration,_timestamp,episode_length_test,_step
312,0.0,9.5629811287,27.469999915,519,6452.812029123306,0,0.0265979075,0.5869854801,83530,-0.310153362,0.0211240065,1716597347.0230832,0,632
313,0.0,8.9904317856,14.5599998198,468,6452.812029123306,0,0.0253748012,0.2145231898,83999,-0.3118318474,0.0194821179,1716597347.0230832,0,633
314,0.0,9.8660736084,14.3799999747,214,6452.81303024292,0,0.0273552024,0.0241215792,84214,-0.3381327056,0.021866734,1716597347.0240843,0,634
315,0.0,9.4892098904,16.409999961,210,6452.813535928726,0,0.0266827083,0.2220049698,84425,-0.3293702901,0.0206556535,1716597347.02459,0,636
316,0.0,9.238193512,7.8699999265,224,6452.814544200897,0,0.025277611,0.0239612117,84650,-0.3453022553,0.0208357644,1716597347.0255983,0,637
317,0.0,9.2637472153,7.8699999265,224,6452.814544200897,0,0.0258232582,0.3978348367,84650,-0.3417004087,0.0204006064,1716597347.0255983,0,638
318,0.0,8.7776622772,13.9799999166,341,6452.815544366837,0,0.024559449,0.2082844968,84992,-0.3502769121,0.0192103589,1716597347.0265985,0,639
319,0.0,9.8613276482,17.5499999765,183,6452.816546201706,0,0.0269226873,0.0335391225,85176,-0.3667742469,0.0222587717,1716597347.0276003,0,641
320,0.0,9.1168253422,17.5499999765,183,6452.816546201706,0,0.0253298771,0.0259581568,85176,-0.3893426129,0.0201766348,1716597347.0276003,0,642
321,0.0,9.1847243309,17.5499999765,183,6452.816546201706,0,0.0259522307,0.0240333392,85176,-0.3922591206,0.0198686624,1716597347.0276003,0,643
322,0.0,9.3904879093,148.2899997961,660,6452.81755566597,0,0.0261535275,0.1996104309,85837,-0.4160155828,0.020693785,1716597347.0286098,0,644
323,0.0,9.2328884602,148.2899997961,660,6452.818555116653,0,0.0259124017,0.2121561213,85837,-0.4159963071,0.0201444268,1716597347.0296092,0,647
324,0.0,10.4486329556,148.2899997383,875,6452.820556879044,0,0.028490665,0.4100101708,86713,-0.4569506342,0.0236246598,1716597347.031611,0,650
325,0.0,9.8920676708,14.7200000286,180,6452.821555376053,0,0.027283746,0.2095861103,87486,-0.5239176641,0.0220738995,1716597347.0326095,0,654
326,0.0,8.9635512829,16.6799999289,162,6452.821555376053,0,0.0250870097,0.4123447631,87649,-0.522904786,0.0196250296,1716597347.0326095,0,655
327,0.0,8.891657114,16.6799999289,162,6452.823063850403,0,0.0251076019,1.1026530968,87649,-0.5407101104,0.0192554545,1716597347.034118,0,656
328,0.0,8.8310339451,16.4999999292,224,6452.823615312576,0,0.0247694397,0.3849695241,88186,-0.5633067185,0.0192827439,1716597347.0346694,0,658
329,0.0,9.1834425926,16.4999999292,224,6452.823615312576,0,0.0253703618,1.1123058602,88186,-0.5667627259,0.0204209423,1716597347.0346694,0,659
330,0.0,8.9803991318,7.8000000268,149,6452.825658559799,0,0.0250386393,0.7241300582,88578,-0.6050217441,0.0197781658,1716597347.0367126,0,662
331,0.0,8.8878734112,7.8000000268,149,6452.825658559799,0,0.0251283526,0.8865362618,88578,-0.6036996321,0.0191531515,1716597347.0367126,0,663
332,0.0,9.7329552174,45.0699999444,601,6452.826694965363,0,0.0268454432,0.3928040521,89180,-0.6289660703,0.0217139423,1716597347.037749,0,664
333,0.0,10.1500775814,2.5399999842,87,6452.826694965363,0,0.0279864419,0.0499760926,89268,-0.6303964105,0.0226437497,1716597347.037749,0,666
334,0.0,9.3054201603,2.5399999842,87,6452.827724456787,0,0.0259952104,0.3835831839,89268,-0.6374491906,0.020454278,1716597347.0387785,0,667
335,0.0,8.8500394821,148.2999998797,701,6452.828758478165,0,0.0249280548,0.5205606575,89970,-0.7034626028,0.0192319918,1716597347.0398126,0,670
336,0.0,8.8265893459,148.2999998797,701,6452.828758478165,0,0.0250665092,0.883621713,89970,-0.7002897699,0.0189484644,1716597347.0398126,0,671
337,0.0,11.1598627567,26.1199999489,503,6452.830014705658,0,0.0264136589,0.5474388818,90474,-0.6993728276,0.0292728627,1716597347.0410688,0,672
338,0.0,11.0552523136,148.2899998911,703,6452.831022500992,0,0.0263687098,1.3531543521,91268,-0.7785666895,0.0288198411,1716597347.0420766,0,676
339,0.0,10.6189730167,148.2899998911,703,6452.832051277161,0,0.0251215875,0.3703926463,91268,-0.7731450908,0.0278730357,1716597347.0431054,0,678
340,0.0,9.7966902256,148.2899998911,703,6452.832051277161,0,0.0273809302,0.8131683906,91268,-0.7770362599,0.0214898276,1716597347.0431054,0,679
341,0.0,9.1399633884,148.2899986934,581,6452.835583686829,0,0.0258842063,0.3820024159,92598,-0.8817812151,0.019707495,1716597347.0466378,0,686
342,0.0,9.6553976536,148.2899999041,614,6452.835583686829,0,0.0266651404,1.1117101075,93213,-0.9405368876,0.0215054631,1716597347.0466378,0,687
343,0.0,9.6195812225,15.2299999539,203,6452.83759021759,0,0.0266457522,1.1515259223,93417,-0.9570683968,0.0213619769,1716597347.0486443,0,691
344,0.0,9.6956272125,148.2899999339,736,6452.838591337204,0,0.0267620754,0.5301727788,94154,-1.0123967052,0.0215932691,1716597347.0496454,0,692
345,0.0,9.5434653759,148.2899999339,736,6452.838591337204,0,0.026454612,1.2182295494,94154,-1.0268124208,0.0211775804,1716597347.0496454,0,693
346,0.0,8.9123356342,148.2899999339,736,6452.839590787888,0,0.0250637662,0.6468667984,94154,-1.0068140212,0.0193692303,1716597347.0506449,0,694
347,0.0,9.8392426968,44.8699999303,622,6452.839590787888,0,0.0271709728,0.4401205459,94777,-1.0317061993,0.0219045305,1716597347.0506449,0,696
348,0.0,9.1101102829,13.3800000176,169,6452.841592550278,0,0.0255502903,1.5069087129,94947,-1.0933239767,0.0198924601,1716597347.0526466,0,699
349,0.0,9.5788166523,13.3800000176,169,7395.983889579773,0,0.0269587302,1.2015430962,94947,-1.1005052337,0.0208326757,1716598290.1949437,0,700
350,0.0,8.4828667641,148.289999878,698,7395.985397577286,0,0.0239444935,1.5772633889,96307,-1.305762502,0.0183622348,1716598290.1964517,0,704
351,0.0,9.1822729111,14.5599999651,157,7395.986405134201,0,0.0257262051,1.9268957788,96465,-1.2791270232,0.0200100756,1716598290.1974592,0,705
352,0.0,9.5711176395,2.9000000041,81,7395.986405134201,0,0.0270073271,1.5774404858,96547,-1.2976421425,0.0207330644,1716598290.1974592,0,706
353,0.0,9.3973896503,4.2299999986,104,7395.986405134201,0,0.0259369266,1.3693814828,96652,-1.3086121559,0.0209764409,1716598290.1974592,0,708
354,0.0,8.822633028,4.2299999986,104,7395.987404823303,0,0.0247814596,1.1860802285,96652,-1.3010423878,0.0191623807,1716598290.198459,0,709
355,0.0,9.4990415573,148.28999996,620,7395.988158464432,0,0.0261068141,1.2780025221,97273,-1.3579626381,0.0212829638,1716598290.1992126,0,711
356,0.0,9.7012143135,148.28999996,620,7395.988158464432,0,0.0269459891,1.2613306571,97273,-1.3780971712,0.0214325476,1716598290.1992126,0,712
357,0.0,8.8824994564,148.28999996,620,7395.988158464432,0,0.0251432514,1.1197183975,97273,-1.3846451795,0.0191816163,1716598290.1992126,0,713
358,0.0,9.4402446747,148.2899999451,707,7395.98916554451,0,0.0264294779,1.6062965066,97981,-1.4597463283,0.0206664932,1716598290.2002196,0,715
359,0.0,8.8643484116,148.2899999451,707,7395.98916554451,0,0.024442029,1.1192764756,97981,-1.4754823425,0.0197619283,1716598290.2002196,0,716
360,0.0,9.0638210773,148.2899999879,635,7395.991168022156,0,0.024906292,1.8658658866,98617,-1.5828630504,0.0203202033,1716598290.202222,0,720
361,0.0,9.5107262135,148.2899998575,633,7395.992165327072,0,0.0267348826,1.5100042047,99251,-1.6509594762,0.0206933403,1716598290.2032194,0,722
362,0.0,9.4815094471,3.7200000156,87,7395.993166446686,0,0.0264659262,1.310052066,99339,-1.6104057369,0.0208465052,1716598290.2042205,0,724
363,0.0,9.7470524311,2.5599999987,81,7395.994166612625,0,0.0267733181,2.2696279303,100199,-1.6467720625,0.0218882775,1716598290.2052207,0,729
364,0.0,9.2714767456,2.5599999987,81,7395.994166612625,0,0.0260068393,1.9153473063,100199,-1.6182277554,0.0202451456,1716598290.2052207,0,730
365,0.0,9.4556999207,148.2900030371,593,7395.995675802231,0,0.0263057554,2.0094335066,100793,-1.7576318061,0.0208625734,1716598290.20673,0,731
366,0.0,9.7704041004,148.2900030371,593,7395.995675802231,0,0.0273476326,2.688687209,100793,-1.7003669795,0.0214061069,1716598290.20673,0,732
367,0.0,9.2237296104,148.2900030371,593,7395.996684551239,0,0.0256775224,2.0217790441,100793,-1.6995930454,0.0203334653,1716598290.2077386,0,734
368,0.0,9.4215278625,15.679999968,156,7395.997685909271,0,0.0263394439,1.3742497306,101601,-1.8498635733,0.0206702721,1716598290.20874,0,736
369,0.0,8.8532721996,4.4799999595,86,7395.998694419861,0,0.0248182786,1.3022654005,101688,-1.7929852179,0.0193254554,1716598290.2097485,0,739
370,0.0,8.9691574574,4.4799999595,86,7395.999694824219,0,0.0253078163,2.0173833018,101688,-1.7801185739,0.0194428098,1716598290.210749,0,740
371,0.0,9.4435377121,15.4799999911,175,7395.999694824219,0,0.026326257,1.5688657372,102508,-1.7928974259,0.0207781494,1716598290.210749,0,742
372,0.0,9.8503670692,15.4799999911,175,7396.001694202423,0,0.0277058268,1.9448506144,102508,-1.8108040565,0.0214357853,1716598290.2127483,0,745
373,0.0,9.0540859699,148.2900000066,626,7396.003693342209,0,0.0255090809,1.7106719002,103784,-1.9505088198,0.0196294141,1716598290.2147474,0,749
374,0.0,9.5633461475,16.7999999914,144,7396.003693342209,0,0.0269340444,1.9529204048,104011,-1.9330446357,0.0207672775,1716598290.2147474,0,751
375,0.0,9.542247057,148.289999906,643,7396.006204843521,0,0.026768018,2.0066942134,104744,-2.0112728578,0.0208203149,1716598290.217259,0,756
376,0.0,9.6937875748,13.2899998929,156,7396.007215023041,0,0.0271832037,2.2193890494,104901,-1.9397582343,0.0212131536,1716598290.218269,0,759
377,0.0,9.4589951038,148.2899999153,609,7396.0082149505615,0,0.0261442077,1.8728514622,105511,-2.0469756413,0.0210379815,1716598290.219269,0,760
378,0.0,10.1740643978,148.2899999153,609,7396.0082149505615,0,0.0279079723,2.1287842826,105511,-2.0685138917,0.022853173,1716598290.219269,0,761
379,0.0,10.1307780743,148.2899986319,640,7396.009213685989,0,0.0247464025,2.069447555,106152,-2.0574877954,0.0257972383,1716598290.2202678,0,764
380,0.0,11.3803582191,13.910000002,143,7396.009213685989,0,0.0272974563,2.684089927,106296,-2.1081646502,0.0295086443,1716598290.2202678,0,765
381,0.0,11.1990425587,2.1799999699,81,7396.010214328766,0,0.0262338793,2.0610857539,106460,-2.0885804325,0.0296786308,1716598290.2212684,0,766
382,0.0,9.0446515083,2.1799999699,81,7396.011214256287,0,0.0254326344,2.0858653374,106460,-2.0891142142,0.0196737397,1716598290.2222683,0,768
383,0.0,9.7444736958,14.6999999974,155,7396.012214183807,0,0.0269427919,2.380863103,107220,-2.1213283175,0.0216968679,1716598290.2232683,0,771
384,0.0,8.8445987701,14.6999999974,155,7396.012214183807,0,0.0248209631,2.4035346575,107220,-2.1279532164,0.0193139052,1716598290.2232683,0,772
385,0.0,9.5601625443,14.6999999974,155,7396.012214183807,0,0.0267063773,2.0398473533,107220,-2.0991120476,0.0209632897,1716598290.2232683,0,773
386,0.0,8.7419748306,148.2900000159,644,7396.014216184616,0,0.0247151911,1.623471453,107865,-2.1338919115,0.0188790715,1716598290.2252703,0,776
387,0.0,10.0495934486,4.189999966,91,7396.014216184616,0,0.0278636932,1.9192640832,108503,-2.2068156582,0.0222940719,1716598290.2252703,0,778
388,0.0,9.6524629593,4.189999966,91,7396.014216184616,0,0.0264906478,2.198317235,108503,-2.1586837465,0.0216642857,1716598290.2252703,0,779
389,0.0,9.3214743137,4.189999966,91,7396.015722751617,0,0.0261508441,2.4505632103,108503,-2.19117356,0.0203362167,1716598290.2267768,0,781
390,0.0,9.3238236904,3.1000000052,81,7396.017733097076,0,0.0257083702,1.781844202,109263,-2.2936117941,0.0208231711,1716598290.2287872,0,784
391,0.0,9.4538099766,3.7199999839,81,7396.0187311172485,0,0.0265679741,3.0428266055,110047,-2.3407536542,0.0205934966,1716598290.2297852,0,787
392,0.0,9.6371700764,3.7199999839,81,7396.019732952118,0,0.0265324748,2.450118297,110047,-2.2915460426,0.0215456402,1716598290.230787,0,788
393,0.0,9.8911721706,148.2899999898,716,7396.021733045578,0,0.0276916754,2.2707553557,110764,-2.37489981,0.0216664159,1716598290.2327871,0,794
394,0.0,9.4844460487,148.2899999917,730,7396.022733211517,0,0.0263465452,2.1216706133,111495,-2.4598786747,0.0209679425,1716598290.2337873,0,796
395,0.0,9.9185266495,148.2899999917,730,7396.023731231689,0,0.0272949362,2.494706509,111495,-2.4670027727,0.0221824682,1716598290.2347853,0,798
396,0.0,9.46124506,7.1799999941,108,8336.752678871155,0,0.0263249063,1.9072298838,112916,-2.539684186,0.0208786583,1716599230.963733,0,803
397,0.0,9.4408752918,7.1799999941,108,8336.75367808342,0,0.0262862206,2.2211375199,112916,-2.5196922964,0.0208425009,1716599230.9647322,0,804
398,0.0,8.8339886665,148.2900000438,576,8336.757677555084,0,0.0247443354,1.8027741666,114458,-2.5145021814,0.0193504882,1716599230.9687316,0,814
399,0.0,9.6579172611,148.2900000438,576,8336.758183002472,0,0.0265423274,2.2020533755,114458,-2.5993568861,0.0216545916,1716599230.969237,0,815
400,0.0,9.7481377125,148.2899999302,660,8336.759190559387,0,0.0272209918,1.9610645308,115119,-2.5987556243,0.0214245081,1716599230.9702446,0,817
