"Step","SAC_single_critic_short_test_track_LIDAR - return_train","SAC_single_critic_short_test_track_LIDAR - return_train__MIN","SAC_single_critic_short_test_track_LIDAR - return_train__MAX"
"456","148.2200006787","148.2200006787","148.2200006787"
"457","148.1800007802","148.1800007802","148.1800007802"
"458","148.1800007802","148.1800007802","148.1800007802"
"459","148.1800007802","148.1800007802","148.1800007802"
"460","148.1800007802","148.1800007802","148.1800007802"
"461","148.1800007802","148.1800007802","148.1800007802"
"462","148.1800007802","148.1800007802","148.1800007802"
"463","148.1800007802","148.1800007802","148.1800007802"
"464","148.1800007802","148.1800007802","148.1800007802"
"465","148.1800007802","148.1800007802","148.1800007802"
"466","27.5899998024","27.5899998024","27.5899998024"
"467","27.5899998024","27.5899998024","27.5899998024"
"468","27.5899998024","27.5899998024","27.5899998024"
"469","27.5899998024","27.5899998024","27.5899998024"
"470","27.5899998024","27.5899998024","27.5899998024"
"471","27.5899998024","27.5899998024","27.5899998024"
"472","27.5899998024","27.5899998024","27.5899998024"
"473","27.5899998024","27.5899998024","27.5899998024"
"474","28.9699998535","28.9699998535","28.9699998535"
"475","28.9699998535","28.9699998535","28.9699998535"
"476","6.7499999739","6.7499999739","6.7499999739"
"477","6.7499999739","6.7499999739","6.7499999739"
"478","6.7499999739","6.7499999739","6.7499999739"
"479","6.7499999739","6.7499999739","6.7499999739"
"480","6.7499999739","6.7499999739","6.7499999739"
"481","6.7499999739","6.7499999739","6.7499999739"
"482","6.7499999739","6.7499999739","6.7499999739"
"483","28.2300000116","28.2300000116","28.2300000116"
"484","28.2300000116","28.2300000116","28.2300000116"
"485","28.2300000116","28.2300000116","28.2300000116"
"486","28.2300000116","28.2300000116","28.2300000116"
"487","28.2300000116","28.2300000116","28.2300000116"
"488","28.2300000116","28.2300000116","28.2300000116"
"489","28.2300000116","28.2300000116","28.2300000116"
"490","28.2300000116","28.2300000116","28.2300000116"
"491","28.2300000116","28.2300000116","28.2300000116"
"492","28.2300000116","28.2300000116","28.2300000116"
"493","28.2300000116","28.2300000116","28.2300000116"
"494","28.2300000116","28.2300000116","28.2300000116"
"495","28.2300000116","28.2300000116","28.2300000116"
"496","28.2300000116","28.2300000116","28.2300000116"
"497","45.0799997039","45.0799997039","45.0799997039"
