"Step","SAC_single_critic_short_test_track_LIDAR - loss_actor","SAC_single_critic_short_test_track_LIDAR - loss_actor__MIN","SAC_single_critic_short_test_track_LIDAR - loss_actor__MAX"
"253","-14.267551198","-14.267551198","-14.267551198"
"254","-14.2318013716","-14.2318013716","-14.2318013716"
"255","-14.2422304726","-14.2422304726","-14.2422304726"
"256","-14.2747654295","-14.2747654295","-14.2747654295"
"257","-14.1813293362","-14.1813293362","-14.1813293362"
"258","-14.1289713144","-14.1289713144","-14.1289713144"
"259","-14.0343175411","-14.0343175411","-14.0343175411"
"260","-14.1324745369","-14.1324745369","-14.1324745369"
"261","-14.0189396477","-14.0189396477","-14.0189396477"
"262","-14.154583559","-14.154583559","-14.154583559"
"263","-14.1474593973","-14.1474593973","-14.1474593973"
"264","-14.0964582872","-14.0964582872","-14.0964582872"
"265","-14.1477993345","-14.1477993345","-14.1477993345"
"266","-13.9360645771","-13.9360645771","-13.9360645771"
"267","-14.0775496387","-14.0775496387","-14.0775496387"
"268","-14.0162602425","-14.0162602425","-14.0162602425"
"269","-14.0823442745","-14.0823442745","-14.0823442745"
"270","-14.0590584469","-14.0590584469","-14.0590584469"
"271","-14.1864310026","-14.1864310026","-14.1864310026"
"272","-14.070052681","-14.070052681","-14.070052681"
"273","-13.9151769733","-13.9151769733","-13.9151769733"
"274","-13.8372854042","-13.8372854042","-13.8372854042"
"275","-13.8593879366","-13.8593879366","-13.8593879366"
"276","-13.8572242355","-13.8572242355","-13.8572242355"
"277","-13.9059664965","-13.9059664965","-13.9059664965"
"278","-13.8466771412","-13.8466771412","-13.8466771412"
"279","-13.9418230152","-13.9418230152","-13.9418230152"
"280","-13.8915058899","-13.8915058899","-13.8915058899"
"281","-13.919945035","-13.919945035","-13.919945035"
"282","-13.9445569086","-13.9445569086","-13.9445569086"
"283","-13.8432308197","-13.8432308197","-13.8432308197"
"284","-14.389467926","-14.389467926","-14.389467926"
"285","-14.2704377508","-14.2704377508","-14.2704377508"
"286","-14.4082801104","-14.4082801104","-14.4082801104"
"287","-14.4157283926","-14.4157283926","-14.4157283926"
"288","-14.3998017979","-14.3998017979","-14.3998017979"
"289","-14.4633675575","-14.4633675575","-14.4633675575"
"290","-14.2294238806","-14.2294238806","-14.2294238806"
"291","-14.2622571325","-14.2622571325","-14.2622571325"
"292","-14.2469868565","-14.2469868565","-14.2469868565"
"293","-14.2309700108","-14.2309700108","-14.2309700108"
"294","-14.1610426998","-14.1610426998","-14.1610426998"
"295","-14.1960950327","-14.1960950327","-14.1960950327"
"296","-14.2934416723","-14.2934416723","-14.2934416723"
"297","-14.2588761759","-14.2588761759","-14.2588761759"
"298","-14.3189144754","-14.3189144754","-14.3189144754"
"299","-14.0782390976","-14.0782390976","-14.0782390976"
"300","-14.1336887407","-14.1336887407","-14.1336887407"
"301","-14.1453998184","-14.1453998184","-14.1453998184"
"302","-14.0657411718","-14.0657411718","-14.0657411718"
"303","-14.1528723621","-14.1528723621","-14.1528723621"
"304","-14.2879728031","-14.2879728031","-14.2879728031"
"305","-14.3396380854","-14.3396380854","-14.3396380854"
"306","-14.0331051254","-14.0331051254","-14.0331051254"
"307","-14.1273586607","-14.1273586607","-14.1273586607"
"308","-14.233149209","-14.233149209","-14.233149209"
"309","-14.1346189165","-14.1346189165","-14.1346189165"
"310","-14.0727009773","-14.0727009773","-14.0727009773"
"311","-14.211558814","-14.211558814","-14.211558814"
"312","-14.3180274105","-14.3180274105","-14.3180274105"
"313","-14.2678047371","-14.2678047371","-14.2678047371"
"314","-14.2569762325","-14.2569762325","-14.2569762325"
"315","-14.1680456114","-14.1680456114","-14.1680456114"
