"Step","SAC_single_critic_short_test_track_LIDAR - loss_critic","SAC_single_critic_short_test_track_LIDAR - loss_critic__MIN","SAC_single_critic_short_test_track_LIDAR - loss_critic__MAX"
"282","1.089180174","1.089180174","1.089180174"
"283","1.1333740839","1.1333740839","1.1333740839"
"284","1.4590448314","1.4590448314","1.4590448314"
"285","1.1548509173","1.1548509173","1.1548509173"
"286","1.2414372051","1.2414372051","1.2414372051"
"287","1.1917491941","1.1917491941","1.1917491941"
"288","1.3324041896","1.3324041896","1.3324041896"
"289","1.285720681","1.285720681","1.285720681"
"290","1.1847367492","1.1847367492","1.1847367492"
"291","1.2620358901","1.2620358901","1.2620358901"
"292","1.237372676","1.237372676","1.237372676"
"293","1.0808303051","1.0808303051","1.0808303051"
"294","1.122778181","1.122778181","1.122778181"
"295","1.0240833823","1.0240833823","1.0240833823"
"296","1.3440898597","1.3440898597","1.3440898597"
"297","1.043475661","1.043475661","1.043475661"
"298","1.1056435443","1.1056435443","1.1056435443"
"299","1.1103736855","1.1103736855","1.1103736855"
"300","1.1865509388","1.1865509388","1.1865509388"
"301","1.2608376154","1.2608376154","1.2608376154"
"302","1.0544005543","1.0544005543","1.0544005543"
"303","1.0413758336","1.0413758336","1.0413758336"
"304","1.116077629","1.116077629","1.116077629"
"305","1.0986786091","1.0986786091","1.0986786091"
"306","1.0285107525","1.0285107525","1.0285107525"
"307","1.1643554166","1.1643554166","1.1643554166"
"308","1.2724784581","1.2724784581","1.2724784581"
"309","1.3956373106","1.3956373106","1.3956373106"
"310","1.1476180626","1.1476180626","1.1476180626"
"311","0.904205268","0.904205268","0.904205268"
"312","1.1649029671","1.1649029671","1.1649029671"
"313","1.1009961766","1.1009961766","1.1009961766"
"314","1.1608605486","1.1608605486","1.1608605486"
"315","1.1782572602","1.1782572602","1.1782572602"
"316","1.2683364603","1.2683364603","1.2683364603"
"317","1.1009822343","1.1009822343","1.1009822343"
"318","1.019447148","1.019447148","1.019447148"
"319","1.0541089754","1.0541089754","1.0541089754"
"320","0.9587986201","0.9587986201","0.9587986201"
"321","1.0163369095","1.0163369095","1.0163369095"
"322","0.9312130898","0.9312130898","0.9312130898"
"323","1.049433748","1.049433748","1.049433748"
"324","1.128094981","1.128094981","1.128094981"
"325","1.0962682785","1.0962682785","1.0962682785"
"326","0.9756384885","0.9756384885","0.9756384885"
"327","1.2116934125","1.2116934125","1.2116934125"
"328","1.0476416263","1.0476416263","1.0476416263"
"329","1.1749019255","1.1749019255","1.1749019255"
"330","1.1727220426","1.1727220426","1.1727220426"
"331","1.0117519566","1.0117519566","1.0117519566"
"332","0.974057669","0.974057669","0.974057669"
"333","1.1060077496","1.1060077496","1.1060077496"
"334","1.1428848492","1.1428848492","1.1428848492"
"335","2.1724118811","2.1724118811","2.1724118811"
"336","1.7497634403","1.7497634403","1.7497634403"
"337","1.5150401808","1.5150401808","1.5150401808"
