"Step","SAC_Double_critic_lidar - loss_actor","SAC_Double_critic_lidar - loss_actor__MIN","SAC_Double_critic_lidar - loss_actor__MAX"
"488","0.3403357697","0.3403357697","0.3403357697"
"489","0.3449526546","0.3449526546","0.3449526546"
"490","0.3451655786","0.3451655786","0.3451655786"
"491","0.3396251877","0.3396251877","0.3396251877"
"492","0.328262385","0.328262385","0.328262385"
"493","0.3393752369","0.3393752369","0.3393752369"
"494","0.3311359242","0.3311359242","0.3311359242"
"495","0.3307260619","0.3307260619","0.3307260619"
"496","0.3271597514","0.3271597514","0.3271597514"
"497","0.3268725687","0.3268725687","0.3268725687"
"498","0.3222938489","0.3222938489","0.3222938489"
"499","0.3173214149","0.3173214149","0.3173214149"
"500","0.3199982396","0.3199982396","0.3199982396"
"501","0.3175392409","0.3175392409","0.3175392409"
"502","0.3203501222","0.3203501222","0.3203501222"
"503","0.3108497998","0.3108497998","0.3108497998"
"504","0.3013356739","0.3013356739","0.3013356739"
"505","0.2994462521","0.2994462521","0.2994462521"
"506","0.2931206116","0.2931206116","0.2931206116"
"507","0.2946646254","0.2946646254","0.2946646254"
"508","0.2919415688","0.2919415688","0.2919415688"
"509","0.2924190827","0.2924190827","0.2924190827"
"510","0.2895486783","0.2895486783","0.2895486783"
"511","0.283575048","0.283575048","0.283575048"
"512","0.284510343","0.284510343","0.284510343"
"513","0.2788290345","0.2788290345","0.2788290345"
"514","0.2788672787","0.2788672787","0.2788672787"
"515","0.2742393691","0.2742393691","0.2742393691"
"516","0.2754340563","0.2754340563","0.2754340563"
"517","0.2700065999","0.2700065999","0.2700065999"
"518","0.2645275508","0.2645275508","0.2645275508"
"519","0.2655230974","0.2655230974","0.2655230974"
"520","0.2626365596","0.2626365596","0.2626365596"
"521","0.2542668416","0.2542668416","0.2542668416"
"522","0.2543094506","0.2543094506","0.2543094506"
"523","0.2505994868","0.2505994868","0.2505994868"
"524","0.2460660363","0.2460660363","0.2460660363"
"525","0.2501054196","0.2501054196","0.2501054196"
"526","0.2429082244","0.2429082244","0.2429082244"
"527","0.2417224642","0.2417224642","0.2417224642"
"528","0.2362470684","0.2362470684","0.2362470684"
"529","0.2439028459","0.2439028459","0.2439028459"
"530","0.2413359214","0.2413359214","0.2413359214"
"531","0.2297798987","0.2297798987","0.2297798987"
"532","0.2265514267","0.2265514267","0.2265514267"
"533","0.2235393192","0.2235393192","0.2235393192"
"534","0.2217130037","0.2217130037","0.2217130037"
"535","0.2145978772","0.2145978772","0.2145978772"
"536","0.2138427767","0.2138427767","0.2138427767"
"537","0.2081636028","0.2081636028","0.2081636028"
"538","0.2075647112","0.2075647112","0.2075647112"
"539","0.210248537","0.210248537","0.210248537"
"540","0.1999873758","0.1999873758","0.1999873758"
"541","0.1957685825","0.1957685825","0.1957685825"
"542","0.1916529487","0.1916529487","0.1916529487"
"543","0.1835273479","0.1835273479","0.1835273479"
"544","0.1888887682","0.1888887682","0.1888887682"
"545","0.1795731162","0.1795731162","0.1795731162"
"546","0.1762797153","0.1762797153","0.1762797153"
"547","0.1777286091","0.1777286091","0.1777286091"
"548","0.1776967897","0.1776967897","0.1776967897"
"549","0.1731450171","0.1731450171","0.1731450171"
"550","0.1678332663","0.1678332663","0.1678332663"
"551","0.1658416126","0.1658416126","0.1658416126"
"552","0.1587382159","0.1587382159","0.1587382159"
"553","0.1597093033","0.1597093033","0.1597093033"
"554","0.1551703267","0.1551703267","0.1551703267"
"555","0.1471555659","0.1471555659","0.1471555659"
"556","0.1404404806","0.1404404806","0.1404404806"
