"Step","PPO_short_test_track_LIDAR - return_train","PPO_short_test_track_LIDAR - return_train__MIN","PPO_short_test_track_LIDAR - return_train__MAX"
"213","0.9499999881","0.9499999881","0.9499999881"
"214","0.9999999907","0.9999999907","0.9999999907"
"215","1.0299999937","1.0299999937","1.0299999937"
"216","0.9299999829","0.9299999829","0.9299999829"
"217","0.9699999858","0.9699999858","0.9699999858"
"218","1.0299999863","1.0299999863","1.0299999863"
"219","0.9699999858","0.9699999858","0.9699999858"
"220","0.9699999876","0.9699999876","0.9699999876"
"221","1.0099999867","1.0099999867","1.0099999867"
"222","1.0399999861","1.0399999861","1.0399999861"
"223","1.0299999826","1.0299999826","1.0299999826"
"224","1.0099999923","1.0099999923","1.0099999923"
"225","1.0199999809","1.0199999809","1.0199999809"
"226","0.9699999895","0.9699999895","0.9699999895"
"227","0.9499999881","0.9499999881","0.9499999881"
"228","0.9699999858","0.9699999858","0.9699999858"
"229","0.9999999851","0.9999999851","0.9999999851"
"230","0.8899999838","0.8899999838","0.8899999838"
"231","1.0299999844","1.0299999844","1.0299999844"
"232","0.9599999841","0.9599999841","0.9599999841"
"233","0.9699999839","0.9699999839","0.9699999839"
"234","1.0599999838","1.0599999838","1.0599999838"
"235","0.9099999852","0.9099999852","0.9099999852"
"236","0.9899999835","0.9899999835","0.9899999835"
"237","0.9499999881","0.9499999881","0.9499999881"
"238","1.0099999867","1.0099999867","1.0099999867"
"239","0.999999987","0.999999987","0.999999987"
"240","0.9499999844","0.9499999844","0.9499999844"
"241","1.0199999884","1.0199999884","1.0199999884"
"242","0.8599999808","0.8599999808","0.8599999808"
"243","1.0099999867","1.0099999867","1.0099999867"
"244","0.9399999827","0.9399999827","0.9399999827"
"245","0.9499999862","0.9499999862","0.9499999862"
"246","1.0199999847","1.0199999847","1.0199999847"
"247","0.9099999834","0.9099999834","0.9099999834"
"248","0.9499999844","0.9499999844","0.9499999844"
"249","0.9299999867","0.9299999867","0.9299999867"
"250","0.8899999801","0.8899999801","0.8899999801"
"251","0.9699999895","0.9699999895","0.9699999895"
"252","0.8599999808","0.8599999808","0.8599999808"
"253","0.9299999811","0.9299999811","0.9299999811"
"254","0.9699999839","0.9699999839","0.9699999839"
"255","0.9399999827","0.9399999827","0.9399999827"
"256","0.9099999797","0.9099999797","0.9099999797"
"257","0.9099999815","0.9099999815","0.9099999815"
"258","0.9799999855","0.9799999855","0.9799999855"
"259","0.9299999829","0.9299999829","0.9299999829"
"260","0.9199999869","0.9199999869","0.9199999869"
"261","0.8899999801","0.8899999801","0.8899999801"
"262","0.9099999834","0.9099999834","0.9099999834"
"263","1.009999983","1.009999983","1.009999983"
"264","0.9399999846","0.9399999846","0.9399999846"
"265","0.9199999832","0.9199999832","0.9199999832"
"266","0.9499999806","0.9499999806","0.9499999806"
"267","0.8699999806","0.8699999806","0.8699999806"
"268","0.9099999852","0.9099999852","0.9099999852"
"269","0.8799999803","0.8799999803","0.8799999803"
"270","0.9799999874","0.9799999874","0.9799999874"
"271","0.9299999848","0.9299999848","0.9299999848"
"272","0.9699999876","0.9699999876","0.9699999876"
"273","0.9399999846","0.9399999846","0.9399999846"
"274","0.9499999844","0.9499999844","0.9499999844"
"275","0.9599999823","0.9599999823","0.9599999823"
"276","0.8699999824","0.8699999824","0.8699999824"
"277","0.9199999832","0.9199999832","0.9199999832"
"278","0.9799999837","0.9799999837","0.9799999837"
"279","0.9199999832","0.9199999832","0.9199999832"
"280","0.8899999801","0.8899999801","0.8899999801"
"281","0.9599999804","0.9599999804","0.9599999804"
"282","0.9499999844","0.9499999844","0.9499999844"
"283","0.9299999811","0.9299999811","0.9299999811"
"284","0.9599999841","0.9599999841","0.9599999841"
"285","0.9299999848","0.9299999848","0.9299999848"
"286","0.9499999825","0.9499999825","0.9499999825"
"287","0.889999982","0.889999982","0.889999982"
"288","0.969999982","0.969999982","0.969999982"
"289","0.9199999832","0.9199999832","0.9199999832"
"290","0.959999986","0.959999986","0.959999986"
"291","0.9099999834","0.9099999834","0.9099999834"
"292","0.9699999858","0.9699999858","0.9699999858"
"293","0.9699999895","0.9699999895","0.9699999895"
"294","0.9299999811","0.9299999811","0.9299999811"
"295","0.8599999808","0.8599999808","0.8599999808"
"296","0.959999986","0.959999986","0.959999986"
"297","0.9899999835","0.9899999835","0.9899999835"
"298","0.8899999801","0.8899999801","0.8899999801"
"299","1.0199999847","1.0199999847","1.0199999847"
"300","0.8999999817","0.8999999817","0.8999999817"
