"Step","PPO_short_test_track_LIDAR - loss_actor","PPO_short_test_track_LIDAR - loss_actor__MIN","PPO_short_test_track_LIDAR - loss_actor__MAX"
"178","-0.0002591077","-0.0002591077","-0.0002591077"
"179","0.0002838693","0.0002838693","0.0002838693"
"180","-0.0022802278","-0.0022802278","-0.0022802278"
"181","0.0019180683","0.0019180683","0.0019180683"
"182","-0.0017139967","-0.0017139967","-0.0017139967"
"183","0.000775077","0.000775077","0.000775077"
"184","-0.0002440743","-0.0002440743","-0.0002440743"
"185","-0.0018779273","-0.0018779273","-0.0018779273"
"186","-0.000458797","-0.000458797","-0.000458797"
"187","0.0020420547","0.0020420547","0.0020420547"
"188","-0.0022879555","-0.0022879555","-0.0022879555"
"189","0.0022669912","0.0022669912","0.0022669912"
"190","-0.0013408817","-0.0013408817","-0.0013408817"
"191","0.0000952564","0.0000952564","0.0000952564"
"192","-0.0008150771","-0.0008150771","-0.0008150771"
"193","0.0005670352","0.0005670352","0.0005670352"
"194","0.0006807032","0.0006807032","0.0006807032"
"195","0.0017524823","0.0017524823","0.0017524823"
"196","-0.0030656974","-0.0030656974","-0.0030656974"
"197","-0.0006273687","-0.0006273687","-0.0006273687"
"198","0.0000914787","0.0000914787","0.0000914787"
"199","0.0001152147","0.0001152147","0.0001152147"
"200","0.0007129243","0.0007129243","0.0007129243"
"201","0.0000432435","0.0000432435","0.0000432435"
"202","-0.0013499607","-0.0013499607","-0.0013499607"
"203","0.0000362395","0.0000362395","0.0000362395"
"204","0.0015232931","0.0015232931","0.0015232931"
"205","-0.0009392633","-0.0009392633","-0.0009392633"
"206","-0.0013331551","-0.0013331551","-0.0013331551"
"207","0.0010385998","0.0010385998","0.0010385998"
"208","-0.0004620702","-0.0004620702","-0.0004620702"
"209","-0.0000255055","-0.0000255055","-0.0000255055"
"210","0.0007082241","0.0007082241","0.0007082241"
"211","0.0007345671","0.0007345671","0.0007345671"
"212","-0.0003842985","-0.0003842985","-0.0003842985"
"213","-0.0019327347","-0.0019327347","-0.0019327347"
"214","0.0026148074","0.0026148074","0.0026148074"
"215","-0.0009082892","-0.0009082892","-0.0009082892"
"216","-0.002501045","-0.002501045","-0.002501045"
"217","0.0026023699","0.0026023699","0.0026023699"
"218","-0.0015387675","-0.0015387675","-0.0015387675"
"219","0.0015650039","0.0015650039","0.0015650039"
"220","0.000559084","0.000559084","0.000559084"
"221","-0.0010921202","-0.0010921202","-0.0010921202"
"222","-0.0010288427","-0.0010288427","-0.0010288427"
"223","0.000205423","0.000205423","0.000205423"
"224","-0.0027558822","-0.0027558822","-0.0027558822"
"225","0.002807148","0.002807148","0.002807148"
"226","-0.000269962","-0.000269962","-0.000269962"
"227","-0.0007232971","-0.0007232971","-0.0007232971"
"228","-0.000082099","-0.000082099","-0.000082099"
"229","-0.0009645844","-0.0009645844","-0.0009645844"
"230","-0.0001051011","-0.0001051011","-0.0001051011"
"231","0.0007775589","0.0007775589","0.0007775589"
"232","-0.0002563965","-0.0002563965","-0.0002563965"
"233","0.0000026762","0.0000026762","0.0000026762"
"234","0.00050057","0.00050057","0.00050057"
"235","-0.0020156218","-0.0020156218","-0.0020156218"
"236","0.0002148731","0.0002148731","0.0002148731"
"237","0.0020095234","0.0020095234","0.0020095234"
"238","-0.0016411516","-0.0016411516","-0.0016411516"
"239","-0.0001303602","-0.0001303602","-0.0001303602"
"240","0.0004617902","0.0004617902","0.0004617902"
"241","0.0006283412","0.0006283412","0.0006283412"
"242","-0.0024637058","-0.0024637058","-0.0024637058"
"243","0.0010230118","0.0010230118","0.0010230118"
"244","-0.0018090095","-0.0018090095","-0.0018090095"
"245","-0.0001291684","-0.0001291684","-0.0001291684"
"246","0.0006979963","0.0006979963","0.0006979963"
"247","0.001458539","0.001458539","0.001458539"
"248","0.0001499808","0.0001499808","0.0001499808"
"249","-0.0011878415","-0.0011878415","-0.0011878415"
"250","-0.0015491739","-0.0015491739","-0.0015491739"
"251","0.0013002916","0.0013002916","0.0013002916"
"252","0.0000362311","0.0000362311","0.0000362311"
"253","-0.0011542039","-0.0011542039","-0.0011542039"
"254","0.0003016053","0.0003016053","0.0003016053"
"255","0.0001227059","0.0001227059","0.0001227059"
"256","-0.00067979","-0.00067979","-0.00067979"
"257","0.0020229375","0.0020229375","0.0020229375"
"258","-0.0022302498","-0.0022302498","-0.0022302498"
"259","-0.0006057757","-0.0006057757","-0.0006057757"
"260","0.0000774025","0.0000774025","0.0000774025"
"261","-0.0001125797","-0.0001125797","-0.0001125797"
"262","-0.0001737638","-0.0001737638","-0.0001737638"
"263","0.0011719731","0.0011719731","0.0011719731"
"264","-0.0012966481","-0.0012966481","-0.0012966481"
"265","0.0011605892","0.0011605892","0.0011605892"
"266","-0.0008885395","-0.0008885395","-0.0008885395"
"267","-0.0004220031","-0.0004220031","-0.0004220031"
"268","0.0003235317","0.0003235317","0.0003235317"
"269","-0.0015308249","-0.0015308249","-0.0015308249"
"270","0.0007774914","0.0007774914","0.0007774914"
"271","0.0010329021","0.0010329021","0.0010329021"
"272","-0.0008439075","-0.0008439075","-0.0008439075"
"273","0.0002172585","0.0002172585","0.0002172585"
"274","-0.0019841131","-0.0019841131","-0.0019841131"
"275","0.0000862612","0.0000862612","0.0000862612"
"276","0.0007314344","0.0007314344","0.0007314344"
"277","-0.000462577","-0.000462577","-0.000462577"
"278","-0.0003625858","-0.0003625858","-0.0003625858"
"279","-0.0010401076","-0.0010401076","-0.0010401076"
"280","0.0000982102","0.0000982102","0.0000982102"
"281","0.0005548557","0.0005548557","0.0005548557"
"282","-0.0002106867","-0.0002106867","-0.0002106867"
"283","-0.0005547196","-0.0005547196","-0.0005547196"
"284","-0.0011336839","-0.0011336839","-0.0011336839"
"285","0.0017369331","0.0017369331","0.0017369331"
"286","-0.0019520713","-0.0019520713","-0.0019520713"
"287","0.0004789044","0.0004789044","0.0004789044"
"288","0.0011140593","0.0011140593","0.0011140593"
"289","-0.0032131953","-0.0032131953","-0.0032131953"
"290","0.0004820604","0.0004820604","0.0004820604"
"291","0.0005061497","0.0005061497","0.0005061497"
"292","0.0001623065","0.0001623065","0.0001623065"
"293","0.0004261611","0.0004261611","0.0004261611"
"294","-0.0008065326","-0.0008065326","-0.0008065326"
"295","-0.0006936535","-0.0006936535","-0.0006936535"
"296","-0.0002700923","-0.0002700923","-0.0002700923"
"297","0.0005286436","0.0005286436","0.0005286436"
"298","-0.0013524326","-0.0013524326","-0.0013524326"
"299","0.0015233284","0.0015233284","0.0015233284"
"300","-0.0013404593","-0.0013404593","-0.0013404593"
"301","0.0004001629","0.0004001629","0.0004001629"
"302","0.0001433276","0.0001433276","0.0001433276"
"303","-0.0013107857","-0.0013107857","-0.0013107857"
"304","0.0005160365","0.0005160365","0.0005160365"
"305","-0.0006268143","-0.0006268143","-0.0006268143"
"306","0.0006986047","0.0006986047","0.0006986047"
"307","-0.0011721767","-0.0011721767","-0.0011721767"
"308","0.0002557708","0.0002557708","0.0002557708"
"309","-0.0006077762","-0.0006077762","-0.0006077762"
"310","-0.0005349011","-0.0005349011","-0.0005349011"
"311","0.0001212017","0.0001212017","0.0001212017"
"312","0.0006522139","0.0006522139","0.0006522139"
"313","-0.0004031249","-0.0004031249","-0.0004031249"
"314","-0.0001637069","-0.0001637069","-0.0001637069"
"315","-0.000433283","-0.000433283","-0.000433283"
"316","-0.0007767366","-0.0007767366","-0.0007767366"
"317","0.0001224188","0.0001224188","0.0001224188"
"318","-0.0004000868","-0.0004000868","-0.0004000868"
"319","0.0005787409","0.0005787409","0.0005787409"
"320","-0.0011536019","-0.0011536019","-0.0011536019"
"321","-0.0005831743","-0.0005831743","-0.0005831743"
"322","-0.0007984124","-0.0007984124","-0.0007984124"
"323","0.000756727","0.000756727","0.000756727"
"324","-0.0003724676","-0.0003724676","-0.0003724676"
"325","-0.000473573","-0.000473573","-0.000473573"
"326","0.0008982181","0.0008982181","0.0008982181"
"327","-0.0015355504","-0.0015355504","-0.0015355504"
"328","0.0005902551","0.0005902551","0.0005902551"
"329","-0.0003787828","-0.0003787828","-0.0003787828"
"330","-0.0013536177","-0.0013536177","-0.0013536177"
"331","0.0012357962","0.0012357962","0.0012357962"
"332","-0.0012375557","-0.0012375557","-0.0012375557"
"333","0.0003099704","0.0003099704","0.0003099704"
"334","-0.0012943309","-0.0012943309","-0.0012943309"
"335","-0.0001271147","-0.0001271147","-0.0001271147"
"336","0.0002050053","0.0002050053","0.0002050053"
"337","-0.000359093","-0.000359093","-0.000359093"
"338","0.0000261623","0.0000261623","0.0000261623"
